Date,Open,High,Low,Close,Volume,Change
2009-10-21,10098,10152,10048,10134,230851,
2009-10-22,10097,10097,9921,10050,1075,-0.0082889283599763
2009-10-23,10064,10358,10064,10323,4183,0.02716417910447766
2009-10-26,10307,10344,10185,10349,63,0.0025186476799379243
2009-10-27,10232,10332,10067,10310,4430,-0.003768480046381306
2009-10-28,10340,10340,10076,10104,199,-0.019980601357904915
2009-10-29,10054,10054,9669,9865,298,-0.023653998416468758
2009-10-30,9854,10244,9854,10248,69,0.038824125696908185
2009-11-02,9905,9905,9677,9840,1435,-0.03981264637002346
2009-11-03,9838,9838,9838,9840,17,0.0
2009-11-04,9829,9942,9829,9848,496,0.0008130081300812275
2009-11-05,9958,9958,9862,9895,5848,0.004772542648253442
2009-11-06,10022,10067,9896,9992,5923,0.00980293077311778
2009-11-09,9988,10116,9988,10071,5805,0.007906325060047958
2009-11-10,10131,10220,10027,10043,6188,-0.0027802601529143267
2009-11-11,10097,10139,10097,10109,131,0.006571741511500528
2009-11-12,10148,10182,10078,10123,748,0.001384904540508547
2009-11-13,9937,10102,9937,10033,644,-0.008890645065692038
2009-11-16,10174,10206,10174,10181,832,0.014751320641881893
2009-11-17,10183,10183,10183,10186,4,0.0004911108928395969
2009-11-18,10244,10244,10244,10248,55,0.00608678578441002
2009-11-19,10243,10243,10206,10212,1140,-0.003512880562060894
2009-11-20,10186,10186,10170,10174,11,-0.003721112416764538
2009-11-23,10164,10200,10131,10194,31865,0.0019657951641438576
2009-11-24,10192,10192,10192,10194,4,0.0
2009-11-25,10139,10139,9968,9970,235,-0.02197371002550519
2009-11-26,10005,10005,10005,10008,54,0.003811434302908756
2009-11-27,9920,9920,9721,9747,143,-0.02607913669064743
2009-11-30,9627,10013,9627,10017,456,0.027700831024930705
2009-12-01,9930,9934,9804,9808,20,-0.020864530298492556
2009-12-02,10017,10073,10017,10075,455,0.027222675367047255
2009-12-03,10073,10073,9947,9951,171,-0.012307692307692353
2009-12-04,9947,9947,9947,9951,106,0.0
2009-12-07,9947,9947,9947,9951,451,0.0
2009-12-08,9944,9944,9864,9932,35963,-0.001909355843633831
2009-12-09,9840,9940,9815,9831,35262,-0.010169150221506218
2009-12-10,9785,9789,9634,9693,38754,-0.01403722917302408
2009-12-11,9826,9940,9820,9822,5829,0.013308573197152507
2009-12-14,9676,9773,9676,9777,2,-0.004581551618814905
2009-12-15,9757,9812,9757,9816,414,0.003988953666768991
2009-12-16,9644,9802,9644,9659,243,-0.015994295028524896
2009-12-17,9696,9717,9618,9693,5728,0.0035200331297235987
2009-12-18,9579,9579,9411,9512,34524,-0.018673269369648193
2009-12-21,9637,9637,9469,9502,19,-0.0010513036164844225
2009-12-22,9617,9617,9471,9474,58,-0.0029467480530415147
2009-12-23,9499,9499,9499,9502,96,0.0029554570403209635
2009-12-24,9534,9794,9534,9605,379,0.010839823195116782
2009-12-28,9600,9676,9592,9679,57214,0.007704320666319653
2009-12-29,9675,9675,9635,9638,227,-0.004235974790784192
2009-12-30,9587,9608,9425,9427,14,-0.021892508819257084
2010-01-04,9720,9720,9627,9628,310,0.02132173544075533
2010-01-05,9627,9794,9627,9794,633,0.01724137931034475
2010-01-06,9762,9762,9762,9765,10,-0.0029609965284868034
2010-01-07,9762,9762,9762,9765,17,0.0
2010-01-08,9668,9671,9579,9584,81,-0.01853558627752172
2010-01-11,9609,9694,9520,9697,64954,0.011790484140233648
2010-01-12,9659,9659,9488,9621,63,-0.007837475507889047
2010-01-13,9587,9587,9290,9339,866,-0.029310882444652298
2010-01-14,9302,9386,9299,9343,500,0.0004283113823750906
2010-01-15,9262,9297,9103,9262,443,-0.008669592208070176
2010-01-18,9279,9279,9124,9157,340,-0.011336644353271419
2010-01-19,9162,9162,9004,9014,1154,-0.01561646827563612
2010-01-20,9172,9205,8964,8966,183,-0.005325049922343061
2010-01-21,9041,9204,8912,8923,25228,-0.004795895605621214
2010-01-22,8919,9004,8752,8755,698,-0.018827748515073406
2010-01-25,8927,8927,8844,8898,284,0.01633352370074248
2010-01-26,8984,8989,8725,8795,238,-0.011575634974151483
2010-01-27,8792,8792,8729,8746,224,-0.005571347356452483
2010-01-28,8752,8853,8752,8755,1255,0.001029041847701917
2010-01-29,8818,8878,8767,8880,299,0.014277555682467247
2010-02-01,8790,8861,8790,8863,23,-0.0019144144144144226
2010-02-02,8962,8986,8916,8919,156,0.006318402346835228
2010-02-03,8923,8932,8895,8898,3494,-0.0023545240497813147
2010-02-04,8982,8982,8878,8880,66,-0.0020229265003371966
2010-02-05,8888,8901,8683,8721,1974,-0.017905405405405417
2010-02-08,8720,8720,8616,8657,152,-0.007338607957803056
2010-02-09,8654,8654,8575,8578,219,-0.00912556312810442
2010-02-10,8741,8741,8663,8666,518,0.010258801585451227
2010-02-11,8793,8835,8775,8838,362,0.019847680590814765
2010-02-12,8840,8849,8840,8851,125,0.0014709210228558423
2010-02-16,8844,8881,8844,8856,80,0.0005649079200089613
2010-02-17,8956,8956,8936,8939,888,0.009372177055103847
2010-02-18,8911,8911,8878,8880,48,-0.006600290860275249
2010-02-19,8919,8919,8710,8713,66,-0.01880630630630631
2010-02-22,8663,8826,8659,8755,2527,0.004820383335246259
2010-02-23,8824,8927,8709,8932,197,0.020217018846373502
2010-02-24,8917,8917,8835,8838,100,-0.01052395879982082
2010-02-25,8817,8817,8742,8746,22,-0.010409594930979815
2010-02-26,8963,9090,8879,9091,434,0.0394466041619026
2010-03-02,9129,9129,9111,9116,203,0.0027499725002750885
2010-03-03,9028,9134,9028,9137,117,0.0023036419482229675
2010-03-04,8894,8911,8894,8910,1257,-0.02484404071358215
2010-03-05,8939,8943,8902,8923,89,0.0014590347923681968
2010-03-08,8957,9083,8889,8901,12128,-0.002465538496021491
2010-03-09,8990,9046,8990,9023,95,0.013706325132007535
2010-03-10,9090,9090,9090,9091,45,0.007536296132106823
2010-03-11,0,0,0,9086,0,-0.0005499945000549955
2010-03-12,9027,9087,9020,9079,156,-0.0007704160246533309
2010-03-15,9021,9021,8886,8994,8038,-0.009362264566582179
2010-03-16,9004,9004,8964,8966,49,-0.003113186568823645
2010-03-17,8963,9139,8878,9142,8109,0.019629712246263642
2010-03-18,9138,9138,9000,9108,2310,-0.003719098665499909
2010-03-19,9138,9138,9090,9091,34,-0.001866490996925818
2010-03-22,9028,9032,8854,8856,898,-0.02584974150258501
2010-03-23,8920,8996,8879,8961,37,0.01185636856368566
2010-03-24,8987,8987,8894,8991,116,0.0033478406427853713
2010-03-25,8964,8964,8919,8923,1143,-0.007563118674229763
2010-03-26,8918,9021,8847,9023,29,0.011206993163734191
2010-03-29,8963,9020,8894,9006,1720,-0.0018840740330267058
2010-03-30,9137,9137,9008,9128,90,0.013546524539196136
2010-03-31,9070,9298,9070,9275,908,0.01610429447852768
2010-04-01,9159,9331,9159,9275,2995,0.0
2010-04-02,9275,9298,9256,9275,44,0.0
2010-04-05,9297,9297,9217,9267,1160,-0.0008625336927223781
2010-04-06,9263,9298,9213,9299,114,0.0034531131973669638
2010-04-07,9297,9499,9297,9502,612,0.02183030433379929
2010-04-08,9449,9532,9425,9427,71,-0.007893075142075379
2010-04-09,9428,9476,9425,9478,367,0.005409992574519906
2010-04-12,9567,9567,9445,9545,1878,0.007069001899134841
2010-04-13,9540,9540,9467,9512,395,-0.0034573074908329504
2010-04-14,9499,9499,9322,9327,648,-0.019449116904962205
2010-04-15,9305,9506,9300,9393,203,0.007076230299131625
2010-04-16,9346,9346,9188,9267,575,-0.013414244650271523
2010-04-19,9255,9255,9151,9154,496,-0.012193805978202188
2010-04-20,9212,9212,9107,9204,39,0.005462093074066088
2010-04-21,9225,9225,9168,9170,167,-0.00369404606692747
2010-04-22,9142,9142,8969,9053,318,-0.012758996728462368
2010-04-23,9256,9256,8941,8944,46,-0.012040207665967029
2010-04-26,9088,9163,9024,9166,559,0.024821109123434715
2010-04-27,9048,9085,9048,9086,2,-0.00872790748418062
2010-04-28,9083,9083,9005,9006,221,-0.008804754567466433
2010-04-29,9008,9008,8871,9003,598,-0.00033311125916057893
2010-04-30,8870,9005,8827,9006,460,0.0003332222592469236
2010-05-03,9005,9005,9000,9006,3543,0.0
2010-05-04,9012,9012,9012,9014,1,0.0008882966910948031
2010-05-06,8833,8833,8793,8795,53,-0.02429554027069003
2010-05-07,8949,8978,8802,8860,188,0.007390562819783897
2010-05-10,8785,8830,8751,8825,1628,-0.003950338600451464
2010-05-11,9255,9255,8776,8847,449,0.002492917847025433
2010-05-12,0,0,0,8847,0,0.0
2010-05-13,8878,8878,8878,8880,21,0.003730077992539771
2010-05-14,8898,8898,8849,8851,244,-0.00326576576576576
2010-05-17,8878,8884,8811,8814,427,-0.004180318608066891
2010-05-18,8806,8811,8806,8814,12,0.0
2010-05-19,9056,9056,8894,8991,1439,0.020081688223281047
2010-05-20,8974,8987,8908,8991,135,0.0
2010-05-24,9259,9368,9259,9299,749,0.03425647870092319
2010-05-25,9433,9715,9433,9470,14594,0.01838907409398871
2010-05-26,9425,9471,9274,9474,496,0.00042238648363257525
2010-05-27,9341,9365,9341,9369,34,-0.011082963901203335
2010-05-28,9425,9425,9425,9427,1,0.006190628669014764
2010-05-31,9654,9654,9540,9545,32,0.012517237721438423
2010-06-01,9539,9539,9484,9485,17,-0.0062860136196961625
2010-06-03,9318,9524,9314,9364,80,-0.012756984712704256
2010-06-04,9275,9282,9275,9285,51,-0.008436565570269061
2010-06-07,9503,9574,9416,9452,189,0.017985998922994018
2010-06-08,9465,9469,9450,9452,132,0.0
2010-06-09,9476,9476,9476,9478,10,0.002750740584003486
2010-06-10,9619,9837,9619,9701,119,0.023528170500105583
2010-06-11,9648,9838,9639,9840,327,0.01432841975054111
2010-06-14,9707,9707,9505,9654,115,-0.01890243902439026
2010-06-15,0,0,0,9674,0,0.0020716801325875167
2010-06-16,9669,9669,9661,9664,2522,-0.0010336985734960003
2010-06-17,9672,9684,9672,9689,2,0.002586920529801251
2010-06-18,9689,9689,9684,9689,173,0.0
2010-06-21,9571,10939,9537,9822,16260,0.01372690680152755
2010-06-22,9772,9786,8962,9756,2775,-0.006719609040928498
2010-06-23,9760,9760,9749,9752,1158,-0.00041000410004099486
2010-06-24,9815,9815,9815,9818,1,0.00676784249384732
2010-06-25,9762,9801,9762,9803,235,-0.0015278060704827512
2010-06-28,9801,9801,9801,9803,12,0.0
