Date,Open,High,Low,Close,Volume,Change
2011-07-18,13098,13128,12948,13135,5877,
2011-07-19,13097,13527,13097,13354,30013,0.016673011039208152
2011-07-20,13416,13567,13376,13573,10150,0.016399580649992584
2011-07-21,13589,13633,13298,13305,5291,-0.019745082148382775
2011-07-22,13436,13640,13361,13646,788,0.025629462608041997
2011-07-25,13704,13882,13619,13880,5041,0.017147882163271344
2011-07-26,13947,14089,13947,14100,3936,0.015850144092218965
2011-07-27,14187,14192,14061,14109,4364,0.0006382978723404875
2011-07-28,13990,14266,13828,14260,4834,0.010702388546317998
2011-07-29,14241,14524,14241,14366,6417,0.0074333800841515085
2011-08-01,14445,14450,14246,14411,4350,0.003132395934846155
2011-08-02,14402,14432,14163,14250,6887,-0.01117202137256268
2011-08-03,13887,14242,13794,14250,3941,0.0
2011-08-04,14256,14432,14094,14134,6273,-0.008140350877193003
2011-08-05,13112,13643,13112,13455,4154,-0.0480401867836423
2011-08-08,13173,13493,12189,12828,8767,-0.04659977703455964
2011-08-09,12409,12409,11417,12212,4277,-0.048019956345494275
2011-08-10,12833,12877,12400,12571,1772,0.029397314117261653
2011-08-11,11864,12929,11864,12867,1881,0.02354625725877013
2011-08-12,13211,13833,13113,13165,7201,0.02316002176109433
2011-08-16,13528,14582,12977,13082,15087,-0.006304595518420109
2011-08-17,13002,13103,12787,13111,4171,0.002216786424094286
2011-08-18,13088,13088,12910,13096,1363,-0.0011440774921821495
2011-08-19,12628,12887,12464,12467,2682,-0.04802993280390955
2011-08-22,12362,12667,12262,12645,853,0.014277693109809864
2011-08-23,12715,13006,12690,12970,846,0.025701858442072067
2011-08-24,13074,13074,12688,12693,1575,-0.021356977640709318
2011-08-25,12750,12926,12464,12532,1692,-0.012684156621760034
2011-08-26,12420,12555,11481,12561,1547,0.0023140759655282395
2011-08-29,12555,12687,12555,12585,2965,0.0019106759016001007
2011-08-30,12678,12756,12575,12761,504,0.013984902661899001
2011-08-31,12754,12957,12754,12965,373,0.015986207977431333
2011-09-01,12940,13041,12609,12615,2579,-0.026995757809487042
2011-09-02,12619,12755,12585,12726,3913,0.008799048751486405
2011-09-05,12587,12601,12378,12384,6511,-0.026874115983026914
2011-09-06,12223,12316,11901,12129,1056,-0.02059108527131781
2011-09-07,12188,12355,12188,12325,982,0.016159617445790975
2011-09-08,12468,12515,12214,12245,566,-0.006490872210953347
2011-09-09,12233,12266,12092,12125,259,-0.009799918334013835
2011-09-14,12018,12121,11854,11916,1846,-0.01723711340206191
2011-09-15,12047,12150,11700,11896,2602,-0.0016784155756965902
2011-09-16,12091,12280,12091,12279,6375,0.032195696032279786
2011-09-19,12261,12335,12213,12279,926,0.0
2011-09-20,12238,12286,12139,12294,274,0.0012215978499878766
2011-09-21,12372,12520,12372,12482,785,0.01529201236375477
2011-09-22,12282,12722,12282,12726,1580,0.019548149335042453
2011-09-23,12193,12361,11994,12003,1224,-0.056812824139556795
2011-09-26,12151,12249,11739,11761,347,-0.02016162626010165
2011-09-27,12018,12082,12008,12090,577,0.02797381175070157
2011-09-28,12214,12238,12077,12235,159,0.011993382961124954
2011-09-29,12092,12198,12092,12100,1070,-0.011033919084593391
2011-09-30,12179,12525,12179,12517,805,0.0344628099173554
2011-10-04,11988,12271,11988,12279,2590,-0.019014140768554788
2011-10-05,12305,12370,12218,12297,648,0.001465917419985363
2011-10-06,12472,12588,12394,12398,515,0.008213385378547544
2011-10-07,12603,12867,12603,12843,518,0.03589288594934659
2011-10-10,12802,13087,12802,13072,850,0.017830724908510565
2011-10-11,13220,13482,13196,13408,768,0.025703794369644983
2011-10-12,13492,13608,13385,13398,559,-0.000745823389021516
2011-10-13,13514,13543,13431,13538,573,0.010449320794148287
2011-10-14,13509,13585,13216,13523,177,-0.0011079923179199147
2011-10-17,13688,14078,13653,14055,601,0.039340383051098105
2011-10-18,13756,14417,13756,13904,1712,-0.01074350764852361
2011-10-19,13981,14094,13499,13504,1394,-0.028768699654775576
2011-10-20,13498,13589,13027,13033,489,-0.03487855450236965
2011-10-21,13064,13128,12493,12775,2138,-0.019795902708509172
2011-10-24,12871,13088,12812,13091,1357,0.0247358121330723
2011-10-25,13123,13340,13123,13169,356,0.005958291956305928
2011-10-26,13215,13254,13148,13174,368,0.0003796795504593664
2011-10-27,13201,13225,12929,12960,2497,-0.016244117200546526
2011-10-28,13088,13088,12711,12833,3403,-0.00979938271604941
2011-10-31,12827,13067,12827,13048,855,0.016753681913815877
2011-11-01,13027,13143,12735,12847,10256,-0.015404659717964453
2011-11-02,12652,12823,12540,12828,594,-0.0014789445006616608
2011-11-03,12857,12939,12740,12847,237,0.0014811350171499704
2011-11-04,12987,13072,12934,13048,42,0.015645676033315237
2011-11-07,13058,13058,12972,12998,842,-0.0038320049049662686
2011-11-08,12977,13235,12977,13077,502,0.00607785813202022
2011-11-09,13157,13220,13044,13091,217,0.0010705819377532233
2011-11-10,12949,12949,12545,12552,1135,-0.04117332518524175
2011-11-11,12560,12702,12156,12708,574,0.01242829827915859
2011-11-14,12838,12930,12678,12684,476,-0.0018885741265344258
2011-11-15,12745,12906,12745,12790,404,0.00835698517817729
2011-11-16,12793,12882,12449,12452,122,-0.026426896012509804
2011-11-17,12444,12634,12332,12640,457,0.015097976228718224
2011-11-18,12489,12544,12489,12507,1678,-0.010522151898734178
2011-11-21,12292,12531,12292,12537,34,0.0023986567522187308
2011-11-22,12331,12378,12326,12345,33,-0.01531466858100028
2011-11-23,12336,12336,11980,12090,445,-0.020656136087484844
2011-11-24,12019,12019,11768,11813,509,-0.022911497105045475
2011-11-25,11749,11879,11664,11672,633,-0.011936002708880067
2011-11-28,11806,12097,11806,12100,983,0.03666895133653192
2011-11-29,12178,12256,12131,12159,251,0.004876033057851226
2011-11-30,12257,12508,12257,12512,345,0.02903199276256263
2011-12-01,12657,12910,12633,12824,1278,0.02493606138107407
2011-12-02,12882,12957,12833,12887,3472,0.004912663755458624
2011-12-05,12929,13092,12929,13048,791,0.012493210211841355
2011-12-06,13002,13036,12972,13043,380,-0.00038320049049667126
2011-12-07,13036,13036,12863,12867,193,-0.013493828107030592
2011-12-08,12863,12930,12863,12936,1115,0.0053625553742131515
2011-12-09,12823,12848,12756,12761,363,-0.0135281385281385
2011-12-12,12842,12891,12788,12795,435,0.0026643679962385924
2011-12-13,12782,13077,12782,13008,2664,0.016647127784290783
2011-12-14,13026,13127,12972,12979,356,-0.002229397293972979
2011-12-15,12877,12887,12629,12693,30,-0.022035595962708987
2011-12-16,12678,12678,12678,12684,77,-0.0007090522335145844
2011-12-19,12554,12554,11926,12154,287,-0.041784925890886115
2011-12-20,12256,12383,12256,12340,114,0.015303603751851247
2011-12-21,12633,12691,12590,12595,126,0.020664505672609357
2011-12-22,12677,12677,12653,12659,49,0.00508138150059545
2011-12-23,12871,12876,12818,12824,145,0.01303420491350038
2011-12-26,12838,12863,12803,12867,17,0.003353087960074941
2011-12-27,12838,12838,12550,12557,15,-0.02409264008704437
2011-12-28,12444,12639,12444,12645,15,0.007008043322449531
2011-12-29,12668,12688,12614,12693,170,0.0037959667852907053
2012-01-02,12740,12832,12579,12804,3246,0.008744977546679245
2012-01-03,12882,12929,12833,12897,2367,0.007263355201499566
2012-01-04,12896,12896,12882,12887,61,-0.0007753741180119844
