Category,Item
도로,검색된 내역이 없습니다.
버스,검색된 내역이 없습니다.
정류소,강남구민체육관 (23863)
정류소,강남구보건소 (23200)
정류소,강남구보건소 (23290)
정류소,강남구청.강남세무서 (23176)
정류소,강남구청.강남세무서 (23206)
따릉이,2353. 강남구청역 2번출구 뒤
따릉이,2356. 강남구청
따릉이,2388. 강남구 도시관리공단
주차장,강남구 민자유치 논현2호주차장(민영) | 건물정보 | 운영방식 시간제 | 용도구분 민영노외 | 주소 강남구 논현동 127-14
주차장,강남구 민자유치 논현3호 주차장(민영) | 건물정보 | 운영방식 시간제 | 용도구분 민영노외 | 주소 강남구 논현동 117-7
주차장,강남구 민자유치 대치주차장(민영) | 건물정보 | 운영방식 시간제 | 용도구분 민영노외 | 주소 강남구 대치동 962-23
주차장,강남구 민자유치 청담주차장(민영) | 건물정보 | 운영방식 시간제 | 용도구분 민영노외 | 주소 강남구 청담동 49-3
주차장,강남구 율현동 102-7(민영) | 건물정보 | 운영방식 시간제 | 용도구분 민영노외 | 주소 강남구 율현동 102-7
