Date,Open,High,Low,Close,Volume,Change
2006-06-27,5555,5646,5555,5616,1197674,
2006-06-28,5541,5541,5519,5541,477299,-0.013354700854700807
2006-06-29,5581,5722,5581,5723,433869,0.0328460566684714
2006-06-30,6119,6119,5811,5890,415516,0.029180499737899712
2006-07-03,5895,5900,5809,5907,364788,0.0028862478777589295
2006-07-04,5893,5913,5878,5883,388321,-0.004062976130015272
2006-07-05,5802,5890,5791,5894,415082,0.0018697943226244629
2006-07-06,5848,5848,5699,5830,467199,-0.010858500169664054
2006-07-07,5810,5817,5799,5817,408356,-0.002229845626072091
2006-07-10,5756,5932,5756,5937,381917,0.020629190304280565
2006-07-11,5709,6412,5709,6419,396082,0.08118578406602661
2006-07-12,5933,6390,5909,5970,413041,-0.06994859012307209
2006-07-13,5965,5965,5880,5966,439193,-0.0006700167504187782
2006-07-14,6324,6324,5739,5806,444972,-0.026818638954073104
2006-07-18,5578,5788,5578,5729,454469,-0.013262142611091932
2006-07-19,5672,5701,5647,5701,439379,-0.004887414906615484
2006-07-20,5859,5918,5829,5922,436620,0.03876512892475015
2006-07-21,5705,5997,5705,6005,436748,0.014015535292130954
2006-07-24,5881,5884,5799,5890,387818,-0.01915070774354699
2006-07-25,5996,6020,5976,5982,412415,0.015619694397283501
2006-07-26,6044,6089,6003,6093,464026,0.018555667001002973
2006-07-27,6076,6261,6076,6229,446497,0.02232069588051866
2006-07-28,6409,6409,6171,6236,415115,0.001123775886980205
2006-07-31,6467,6467,6152,6157,424594,-0.012668377164849254
2006-08-01,6054,6197,5946,6039,416770,-0.019165177846353743
2006-08-02,6022,6022,5902,5970,469032,-0.01142573273720815
2006-08-03,5995,5995,5882,5913,328616,-0.009547738693467367
2006-08-04,5938,6105,5021,5928,443972,0.0025367833587011113
2006-08-07,5973,5973,5923,5928,382463,0.0
2006-08-08,5926,6050,5926,6036,436605,0.018218623481781382
2006-08-09,6025,6025,5934,6015,302431,-0.0034791252485089075
2006-08-10,6013,6013,5936,6007,437635,-0.0013300083125519224
2006-08-11,6025,6025,5930,5966,303521,-0.006825370401198572
2006-08-14,6027,6027,5882,5947,446939,-0.0031847133757961776
2006-08-16,5988,6028,5946,6034,409848,0.014629224819236564
2006-08-17,6050,6053,5766,6018,441442,-0.0026516407026847544
2006-08-18,5995,6008,5924,5984,413597,-0.005649717514124242
2006-08-21,5942,5960,5889,5924,437107,-0.010026737967914423
2006-08-22,5920,5943,5920,5943,191377,0.003207292370020154
2006-08-23,5929,5938,5858,5887,177776,-0.009422850412249661
2006-08-24,5873,5873,5794,5799,412444,-0.014948190929165994
2006-08-25,5823,5876,5823,5865,394742,0.011381272633212536
2006-08-28,5864,5873,5805,5814,164889,-0.008695652173912993
2006-08-29,5769,5877,5769,5839,330889,0.004299965600275124
2006-08-30,5827,5827,5772,5790,467702,-0.008391847919164253
2006-08-31,5907,5907,5818,5890,331955,0.017271157167530138
2006-09-01,5877,5877,5740,5773,336125,-0.01986417657045836
2006-09-04,5765,5792,5761,5765,328257,-0.0013857613026155846
2006-09-05,5757,5804,5733,5799,329130,0.005897658282740581
2006-09-06,6075,6075,5838,5861,467860,0.010691498534230126
2006-09-07,6047,6047,5864,5880,326569,0.003241767616447788
2006-09-08,5872,5874,5815,5873,327910,-0.0011904761904761862
2006-09-11,5862,5862,5752,5753,164545,-0.02043248765537209
2006-09-12,5743,5743,5704,5743,192114,-0.0017382235355466458
2006-09-13,5731,5753,5704,5713,192042,-0.005223750652968873
2006-09-14,5699,5699,5691,5695,109762,-0.0031507089095046403
2006-09-15,5781,5781,5695,5713,123533,0.003160667251975502
2006-09-18,5701,5881,5676,5701,221639,-0.00210047260633639
2006-09-19,5698,5776,5698,5777,141515,0.013330994562357423
2006-09-20,5808,5808,5703,5713,138864,-0.011078414401938685
2006-09-21,5743,5743,5645,5664,168135,-0.008576929809207101
2006-09-22,5654,5654,5595,5600,42726,-0.011299435028248594
2006-09-25,5590,5664,5573,5670,91169,0.012499999999999956
2006-09-26,5659,5659,5594,5600,83207,-0.012345679012345734
2006-09-27,5589,5719,5589,5726,57148,0.022499999999999964
2006-09-28,5981,5981,5717,5736,5104,0.0017464198393293273
2006-09-29,5733,5733,5725,5733,1336,-0.0005230125523012497
2006-10-02,5727,5742,5718,5747,1204,0.0024420024420024333
2006-10-04,5733,5733,5712,5733,834,-0.0024360535931789995
2006-10-09,5720,5743,5616,5634,5829,-0.017268445839874413
2006-10-10,5635,5712,5635,5713,13952,0.014022009229677002
2006-10-11,5699,5699,5671,5681,842,-0.00560126028356378
2006-10-12,5694,5732,5678,5736,1510,0.009681394120753417
2006-10-13,5724,5730,5494,5673,222428,-0.010983263598326354
2006-10-16,5709,5825,5709,5824,11007,0.026617310065221167
2006-10-17,5820,5854,5802,5854,40252,0.005151098901098994
2006-10-18,5849,5884,5824,5890,18118,0.006149641270925876
2006-10-19,5882,5937,5882,5913,16294,0.003904923599320931
2006-10-20,5905,5983,5905,5945,17219,0.005411804498562489
2006-10-23,5935,5950,5927,5932,14233,-0.0021867115222876654
2006-10-24,5925,5964,5921,5939,16224,0.0011800404585300406
2006-10-25,5921,5957,5921,5924,1722,-0.0025256777235225236
2006-10-26,5882,5910,5655,5659,4242,-0.0447332883187036
2006-10-27,5885,5885,5851,5854,3285,0.0344583848736526
2006-10-30,5664,5935,5664,5697,23712,-0.026819268875982183
2006-10-31,5875,5875,5788,5820,4236,0.021590310689836745
2006-11-01,5790,5794,5711,5799,4397,-0.0036082474226803996
2006-11-02,5825,5987,5798,5857,40761,0.010001724435247494
2006-11-03,5740,5852,5740,5839,132,-0.0030732456889192017
2006-11-06,5788,5813,5754,5820,4408,-0.0032539818462065107
2006-11-07,5847,5912,5809,5913,37290,0.015979381443298912
2006-11-08,5910,5923,5905,5928,4211,0.0025367833587011113
2006-11-09,5945,5997,5918,6005,8073,0.012989203778677405
2006-11-10,6003,6040,6003,6041,2243,0.005995004163197315
2006-11-13,6034,6034,5944,6034,36618,-0.0011587485515642815
2006-11-14,6027,6063,6027,6070,9888,0.005966191581040725
2006-11-15,6057,6057,5968,6013,515,-0.00939044481054363
2006-11-16,5999,5999,5878,5898,59819,-0.019125228671212358
2006-11-17,6023,6023,5906,5932,868,0.005764665988470696
2006-11-20,5920,6021,5874,5887,15219,-0.007585974376264293
2006-11-21,5956,5956,5878,5900,3867,0.002208255478172161
2006-11-22,5887,5983,5887,5989,12704,0.015084745762711904
2006-11-23,5941,5964,5935,5947,2866,-0.007012856904324627
2006-11-24,5912,5932,5867,5913,1869,-0.005717168320161448
2006-11-27,5873,5936,5873,5937,1221,0.004058853373921867
2006-11-28,5923,5923,5849,5904,2528,-0.005558362809499728
2006-11-29,5897,5944,5897,5945,2062,0.00694444444444442
2006-11-30,5940,5972,5940,5979,607,0.005719091673675347
2006-12-01,5967,5972,5961,5967,354,-0.002007024586051176
2006-12-04,5976,5976,5936,5982,656,0.002513826043237799
2006-12-05,5973,6002,5967,5974,1169,-0.0013373453694416337
2006-12-06,5962,5962,5874,5880,1379,-0.0157348510210914
2006-12-07,5875,5890,5858,5890,668,0.001700680272108901
2006-12-08,5833,5834,5805,5814,2221,-0.012903225806451646
2006-12-11,5905,5905,5828,5904,3033,0.015479876160990669
2006-12-12,5877,5877,5828,5833,1252,-0.012025745257452591
2006-12-13,5828,5853,5790,5857,589,0.004114520829761714
2006-12-14,5849,5940,5822,5945,643,0.015024756701383035
2006-12-15,6010,6412,6010,6075,256463,0.021867115222876432
2006-12-18,6974,6974,6113,6154,4874,0.013004115226337376
2006-12-19,6122,6146,6117,6122,858,-0.005199870003249951
2006-12-20,6150,6205,6150,6180,4158,0.009474028095393772
2006-12-21,6172,6219,6039,6045,2658,-0.021844660194174748
2006-12-22,6120,6324,6120,6212,14788,0.027626137303556675
2006-12-26,6205,6261,6122,6128,4997,-0.013522215067611087
2006-12-27,6119,6293,6119,6285,3576,0.025620104438642377
2006-12-28,6329,6329,6266,6273,2528,-0.0019093078758949389
2007-01-02,6306,6306,6242,6246,820,-0.004304160688665681
2007-01-03,6249,6249,6113,6119,2556,-0.02033301312840219
2007-01-04,6124,6124,5977,6021,1880,-0.016015688838045383
2007-01-05,5894,6014,5894,5939,3071,-0.013619000166085415
2007-01-08,6117,6117,5895,5989,1847,0.008418925745074857
2007-01-09,6092,6102,6084,6104,566,0.019201870095174378
2007-01-10,6096,6096,5923,5991,319,-0.01851245085190034
2007-01-11,5982,6079,5982,6028,474,0.006175930562510423
2007-01-12,6180,6242,6149,6246,303,0.036164565361645584
2007-01-15,6201,6210,6069,6075,1346,-0.02737752161383289
2007-01-16,6414,6414,6194,6202,2007,0.020905349794238637
2007-01-17,6194,6302,6180,6307,1175,0.016930022573363512
2007-01-18,6301,6320,6301,6318,1927,0.0017440938639605719
2007-01-19,6307,6307,6212,6229,423,-0.014086736308958514
2007-01-22,6211,6216,6176,6202,203,-0.004334564135495267
2007-01-23,6223,6239,6223,6239,916,0.005965817478232882
2007-01-24,6299,6332,6295,6333,1092,0.01506651707004325
2007-01-25,6320,6320,6250,6259,427,-0.011684825517132458
2007-01-26,6234,6234,6204,6226,16748,-0.005272407732864637
2007-01-29,6124,6220,6124,6192,1686,-0.005460970125281128
2007-01-30,6251,6270,6251,6273,223,0.013081395348837122
2007-01-31,6292,6298,6266,6273,3781,0.0
2007-02-01,6308,6499,6270,6276,2196,0.0004782400765184214
2007-02-02,6473,6821,6473,6806,4359,0.08444869343530903
2007-02-05,6766,6902,6766,6894,3610,0.012929767851895368
2007-02-06,6884,6884,6732,6771,1622,-0.017841601392515227
2007-02-07,6766,6841,6745,6780,1415,0.0013291980505094614
2007-02-08,6802,6847,6791,6836,1656,0.008259587020648995
2007-02-09,6825,6927,6658,6663,2293,-0.025307197191340003
2007-02-12,7066,7066,6748,6802,849,0.020861473810595887
2007-02-13,6796,6841,6771,6848,1462,0.006762716847985795
2007-02-14,6836,7363,6836,7365,11078,0.0754964953271029
2007-02-15,7301,7363,7188,7365,13530,0.0
2007-02-16,7179,7222,7140,7177,9751,-0.025526137135098437
2007-02-20,7329,7329,7157,7180,5578,0.00041800195067587254
2007-02-21,7295,7295,7056,7121,5304,-0.008217270194986082
2007-02-22,7108,7247,7088,7247,6450,0.01769414408088754
2007-02-23,7239,7286,7067,7072,33010,-0.02414792327859805
2007-02-26,7120,7344,7120,7349,15811,0.03916855203619907
2007-02-27,7329,7329,7175,7322,5912,-0.0036739692475166175
2007-02-28,7064,7064,6782,6883,41969,-0.05995629609396336
2007-03-02,6868,6884,6789,6836,7359,-0.006828417841057699
2007-03-05,6818,6818,6603,6609,8566,-0.03320655354008195
2007-03-06,6371,6871,6371,6875,3758,0.04024814646693908
2007-03-07,7594,7594,6781,6786,19503,-0.012945454545454593
2007-03-08,6776,6955,6776,6918,8943,0.01945181255526074
2007-03-09,6938,6938,6820,6851,3442,-0.009684880023128062
2007-03-12,6854,6987,6854,6982,4628,0.01912129616114444
2007-03-13,7060,7060,6917,6930,7234,-0.0074477227155542725
2007-03-14,6751,6755,6681,6686,15900,-0.035209235209235246
2007-03-15,6799,6799,6722,6796,3667,0.016452288363745238
2007-03-16,6875,6875,6733,6774,4851,-0.0032371983519717817
2007-03-19,6540,6963,6540,6964,7102,0.02804842043106004
2007-03-20,7181,7181,6969,7050,6008,0.012349224583572571
2007-03-21,7041,7070,7013,7059,4735,0.001276595744680753
2007-03-22,7181,7181,7106,7121,3216,0.008783113755489458
2007-03-23,7108,7112,7007,7012,18257,-0.015306838927116928
2007-03-26,7077,7084,6942,6949,13218,-0.008984597832287555
2007-03-27,6941,6974,6916,6970,4365,0.0030220175564830143
2007-03-28,6931,6979,6848,6877,11510,-0.013342898134863668
2007-03-29,6977,6977,6825,6894,7659,0.002472008143085569
2007-03-30,6889,6910,6813,6918,7282,0.003481288076588429
