Date,Open,High,Low,Close,Volume,Change
2018-05-11,9362,9437,9338,9430,1078,
2018-05-14,9488,9557,9488,9551,61,0.012831389183457054
2018-05-15,9548,9557,9483,9499,74,-0.005444456077897564
2018-05-16,9376,9432,9372,9394,57,-0.011053795136330091
2018-05-17,9381,9450,9357,9374,55,-0.002129018522461168
2018-05-18,9376,9440,9376,9444,54,0.0074674631960742754
2018-05-21,9440,9440,9372,9410,2653,-0.003600169419737398
2018-05-23,9326,9338,9283,9310,58,-0.01062699256110522
2018-05-24,9348,9348,9246,9286,180,-0.002577873254564933
2018-05-25,9158,9167,9111,9132,221,-0.01658410510445829
2018-05-28,9242,9334,9242,9322,54,0.020805957074025327
2018-05-29,9306,9306,9237,9239,54,-0.008903668740613657
2018-05-30,9222,9222,9060,9128,54,-0.012014287260526002
2018-05-31,9195,9199,9167,9197,109,0.00755915863277834
2018-06-01,9171,9217,9144,9197,54,0.0
2018-06-04,9301,9301,9269,9286,56,0.009677068609329043
2018-06-05,9269,9306,9237,9305,56,0.002046090889511021
2018-06-07,9291,9376,9291,9374,54,0.007415368081676421
2018-06-08,9418,9418,9343,9347,54,-0.0028803072327715507
2018-06-11,9338,9440,9338,9439,54,0.009842730287792811
2018-06-12,9464,9479,9414,9435,59,-0.00042377370484159016
2018-06-14,9372,9399,9288,9310,108,-0.013248542660307394
2018-06-15,9291,9291,9217,9234,54,-0.008163265306122436
2018-06-18,9255,9265,9084,9109,54,-0.013536928741607057
2018-06-19,9116,9116,8935,8937,61,-0.018882423976287144
2018-06-20,8930,9028,8917,8997,55,0.006713662302786139
2018-06-21,8921,8949,8833,8835,54,-0.018006002000666932
2018-06-22,8815,8926,8810,8928,54,0.010526315789473717
2018-06-25,8870,8962,8861,8965,54,0.004144265232974842
2018-06-26,8949,8972,8870,8951,54,-0.0015616285554935772
2018-06-27,8908,8954,8833,8835,54,-0.012959445871969621
2018-06-28,8837,8870,8786,8794,769,-0.004640633842671216
2018-06-29,8878,8878,8716,8857,214,0.007163975437798564
2018-07-02,8791,8791,8586,8589,162,-0.030258552557299256
2018-07-03,8619,8619,8476,8538,773,-0.005937827453719846
2018-07-04,8511,8590,8511,8561,485,0.002693839306629142
2018-07-05,8568,8586,8466,8515,54,-0.00537320406494568
2018-07-06,8553,8693,8553,8687,54,0.020199647680563704
2018-07-09,8637,8656,8582,8617,54,-0.008058017727639033
