Date,Open,High,Low,Close,Volume,Change
2011-04-06,12208,12208,12049,12081,15877,
2011-04-07,12093,12124,11965,11976,5762,-0.008691333498882514
2011-04-08,11968,12035,11920,11966,2101,-0.0008350033400134071
2011-04-11,12011,12088,12011,12059,4580,0.007772020725388629
2011-04-12,11995,11995,11831,11848,5173,-0.01749730491748902
2011-04-13,11861,12016,11861,12027,6850,0.015108035111411233
2011-04-14,12043,12088,11998,12099,5395,0.005986530306809623
2011-04-15,12106,12136,12063,12072,1890,-0.002231589387552635
2011-04-18,12131,12131,12020,12032,5368,-0.0033134526176276102
2011-04-19,11934,12121,11934,12134,9112,0.008477393617021267
2011-04-20,12347,12668,12329,12658,18682,0.04318444041536185
2011-04-21,12845,13038,12761,13048,81960,0.03081055458998261
2011-04-22,12808,12812,12676,12782,50626,-0.020386266094420624
2011-04-25,12766,12805,12516,12706,13666,-0.005945861367548155
2011-04-26,12701,12929,12490,12571,106662,-0.010624901621281269
2011-04-27,12681,12788,12542,12600,51180,0.0023068968260282485
2011-04-28,12626,12672,12453,12488,44372,-0.008888888888888835
2011-04-29,12368,12445,12219,12325,57621,-0.013052530429212061
2011-05-02,12374,12671,12374,12681,8291,0.028884381338742493
2011-05-03,12650,12678,12590,12666,3694,-0.0011828720132481818
2011-05-04,12578,12578,12310,12343,8619,-0.02550134217590394
2011-05-06,12155,12250,12110,12234,3633,-0.008830916308839032
2011-05-09,12263,12289,12187,12234,7084,0.0
2011-05-11,12248,12373,12244,12381,34544,0.012015693967631247
2011-05-12,12318,12476,12318,12417,20792,0.002907681124303396
2011-05-13,12454,12581,12449,12563,4866,0.011758073608762132
2011-05-16,12597,12597,12363,12430,26061,-0.01058664331767889
2011-05-17,12347,12352,12230,12307,10290,-0.00989541432019303
2011-05-18,12275,12275,12182,12234,3973,-0.005931583651580419
2011-05-19,12234,12264,11911,11921,6171,-0.025584436815432432
2011-05-20,11915,12035,11910,12014,26258,0.007801358946397219
2011-05-23,11942,11947,11678,11687,3801,-0.027218245380389527
2011-05-24,11623,11664,11591,11600,2178,-0.007444168734491274
2011-05-25,11605,11644,11415,11465,1475,-0.01163793103448274
2011-05-26,11547,11732,11547,11743,17907,0.024247710423026536
2011-05-27,11692,11834,11653,11804,21412,0.005194584007493841
2011-05-30,11776,11776,11429,11484,24553,-0.027109454422229784
2011-05-31,11505,11694,11505,11640,66253,0.013584117032392928
2011-06-01,11632,11650,11560,11569,909,-0.0060996563573882945
2011-06-02,11382,11411,11243,11270,3484,-0.025844930417495027
2011-06-03,11304,11304,11137,11204,1887,-0.005856255545696576
2011-06-07,11097,11266,11059,11270,20241,0.005890753302391971
2011-06-08,11355,11379,11182,11191,38130,-0.007009760425909506
2011-06-09,11170,11240,11170,11186,25739,-0.00044678759717631245
2011-06-10,11182,11182,10798,10811,7153,-0.03352404791703911
2011-06-13,10732,10793,10664,10763,6699,-0.0044399223013597
2011-06-14,10761,10912,10752,10853,12429,0.008361980860355
2011-06-15,10871,10891,10761,10856,9880,0.00027642126600935235
2011-06-16,10698,10752,10665,10698,10339,-0.014554163596168013
2011-06-17,10686,10686,10259,10401,1271,-0.027762198541783523
2011-06-20,10379,10458,10313,10349,837,-0.004999519276992603
2011-06-21,10443,10574,10408,10584,46733,0.02270750797178467
2011-06-22,10711,10769,10657,10669,19536,0.008030990173847341
2011-06-23,10652,10680,10598,10659,7725,-0.00093729496672601
2011-06-24,10690,10969,10632,10941,31651,0.02645651562060225
2011-06-27,10857,10857,10711,10785,47199,-0.014258294488620815
2011-06-28,10774,10842,10644,10655,18278,-0.012053778395920256
2011-06-29,10777,10795,10626,10698,23937,0.004035664007508322
2011-06-30,10692,10692,10626,10659,1352,-0.003645541222658477
2011-07-01,10809,10992,10809,10980,1929,0.030115395440472925
2011-07-04,11097,11373,11073,11141,8964,0.014663023679417186
