,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,61200,1,1000,1.66,60900,61700,60400,24741221,1512362538200,362281840826400,5919637922,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,214000,1,4000,1.9,213500,219500,212000,3441533,743871217750,155792506110000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,331000,2,-3500,-1.05,334000,334500,324000,166009,54525512750,77454000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,1085000,1,13000,1.21,1060000,1088000,1060000,34911,37564357000,77223790000000,71174000,STK
4,005380,KR7005380001,현대차,KOSPI,,204000,1,1500,0.74,201500,205000,201000,220056,44767309000,42720902964000,209416191,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,50600,1,600,1.2,50300,50900,50000,1385289,69955627250,41288317998400,815974664,STK
6,068270,KR7068270008,셀트리온,KOSPI,,185200,2,-1100,-0.59,185200,189100,184700,303862,56622132900,39652823638800,214108119,STK
7,000270,KR7000270009,기아,KOSPI,,96900,1,900,0.94,95500,97400,95500,705570,68098210650,38534478040800,397672632,STK
8,035420,KR7035420009,NAVER,KOSPI,,208000,3,0,0.0,209500,210000,206000,303927,63178627000,32954897664000,158437008,STK
9,105560,KR7105560007,KB금융,KOSPI,,82300,3,0,0.0,81100,83300,80500,903941,74122364500,32387389212900,393528423,STK
10,012450,KR7012450003,한화에어로스페이스,KOSPI,,631500,2,-90500,-12.53,627000,655000,608000,1467802,925560613500,28784503171500,45581161,STK
11,005490,KR7005490008,POSCO홀딩스,KOSPI,,322500,2,-9500,-2.86,327500,329000,318500,389778,125707079000,26646361582500,82624377,STK
12,329180,KR7329180004,HD현대중공업,KOSPI,,299750,2,-250,-0.08,295000,300500,292000,154407,45762061500,26609741521000,88773116,STK
13,012330,KR7012330007,현대모비스,KOSPI,,270500,3,0,0.0,266500,272000,263500,127060,34062887750,25155172927000,92995094,STK
14,055550,KR7055550008,신한지주,KOSPI,,48050,1,500,1.05,46850,48100,46850,691143,32912403875,24190547866250,503445325,STK
15,042660,KR7042660001,한화오션,KOSPI,,74900,1,100,0.13,70500,75100,70100,5303663,383931693850,22950363210600,306413394,STK
16,138040,KR7138040001,메리츠금융지주,KOSPI,,117800,2,-2400,-2.0,119800,120100,116600,195163,23026392750,22466829429200,190720114,STK
17,028260,KR7028260008,삼성물산,KOSPI,,125700,1,1600,1.29,123300,126200,123000,157395,19650755750,21366051580800,169976544,STK
18,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,373500,1,500,0.13,372000,385000,362500,945471,354822554500,19914582258000,53318828,KSQ
19,035720,KR7035720002,카카오,KOSPI,,42850,1,200,0.47,42650,43050,41900,995167,42272704500,19013446221200,443721032,STK
20,000810,KR7000810002,삼성화재,KOSPI,,397000,3,0,0.0,391500,397500,389500,20732,8155010500,18807810289000,47374837,STK
21,096770,KR7096770003,SK이노베이션,KOSPI,,124100,2,-1100,-0.88,125200,125700,121100,203074,24915057500,18743415701600,151034776,STK
22,051910,KR7051910008,LG화학,KOSPI,,258500,1,1500,0.58,259000,261500,246500,323034,82015834000,18248120665500,70592343,STK
23,086790,KR7086790003,하나금융지주,KOSPI,,62300,1,100,0.16,61500,62500,61400,331530,20546541750,17895106824000,287240880,STK
24,011200,KR7011200003,HMM,KOSPI,,19990,2,-60,-0.3,19830,20050,19440,1057419,20813690725,17611979525040,881039496,STK
25,010130,KR7010130003,고려아연,KOSPI,,847000,3,0,0.0,848000,855000,805000,25489,21221473500,17535680701000,20703283,STK
26,032830,KR7032830002,삼성생명,KOSPI,,85900,1,200,0.23,85300,86200,84200,115317,9847827000,17180000000000,200000000,STK
27,034020,KR7034020008,두산에너빌리티,KOSPI,,25900,1,400,1.57,25250,26150,25250,4174908,107514510050,16590533681400,640561146,STK
28,259960,KR7259960003,크래프톤,KOSPI,,327500,2,-1000,-0.3,330500,335000,326000,82041,26962421500,15689967922500,47908299,STK
29,009540,KR7009540006,HD한국조선해양,KOSPI,,210500,1,1000,0.48,206500,211000,205000,159708,33317491750,14897740918000,70773116,STK
30,015760,KR7015760002,한국전력,KOSPI,,22200,1,200,0.91,22000,22500,22000,992693,22120206525,14251602509400,641964077,STK
31,006400,KR7006400006,삼성SDI,KOSPI,,200000,2,-2500,-1.23,203000,203500,196300,472869,94114909600,13752906000000,68764530,STK
32,402340,KR7402340004,SK스퀘어,KOSPI,,102200,1,3300,3.34,98900,104200,98700,288415,29576374900,13648611323200,133548056,STK
33,066570,KR7066570003,LG전자,KOSPI,,82900,1,100,0.12,83300,84000,82500,342609,28507826500,13566403780600,163647814,STK
34,010140,KR7010140002,삼성중공업,KOSPI,,14590,1,50,0.34,14450,14690,14140,8039880,116218164955,12839200000000,880000000,STK
35,030200,KR7030200000,KT,KOSPI,,50900,1,200,0.39,50200,51000,50200,140655,7139282350,12827903766500,252021685,STK
36,316140,KR7316140003,우리금융지주,KOSPI,,16915,1,185,1.11,16650,16920,16620,973991,16355011090,12560935239415,742591501,STK
37,024110,KR7024110009,기업은행,KOSPI,,15710,2,-70,-0.44,15750,15770,15690,1015844,15966033880,12527560401990,797425869,STK
38,033780,KR7033780008,KT&G,KOSPI,,101000,2,-1100,-1.08,101000,102000,99900,157830,15911090650,12328312197000,122062497,STK
39,064350,KR7064350002,현대로템,KOSPI,,112100,1,3600,3.32,103500,113000,103500,1977451,215536534000,12234851045300,109142293,STK
40,267260,KR7267260008,HD현대일렉트릭,KOSPI,,335500,2,-15000,-4.28,342000,346500,332000,156332,52594250750,12093813792500,36047135,STK
41,017670,KR7017670001,SK텔레콤,KOSPI,,56300,3,0,0.0,56100,56400,56000,194418,10929303800,12092679983900,214790053,STK
42,003550,KR7003550001,LG,KOSPI,,69700,2,-300,-0.43,69900,70250,69600,118027,8242290950,10963879212100,157300993,STK
43,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,111900,2,-1000,-0.89,112900,114300,108300,515274,57272016350,10943970393600,97801344,KSQ
44,323410,KR7323410001,카카오뱅크,KOSPI,,22800,2,-250,-1.08,22800,23100,22600,265482,6047765150,10875055923600,476976137,STK
45,003670,KR7003670007,포스코퓨처엠,KOSPI,,137900,2,-5600,-3.9,142400,142900,135000,376459,51694149000,10682178038000,77463220,STK
46,009150,KR7009150004,삼성전기,KOSPI,,139700,1,200,0.14,139200,141100,138300,117396,16409849700,10434709331200,74693696,STK
47,047050,KR7047050000,포스코인터내셔널,KOSPI,,58400,1,2600,4.66,56300,59100,55000,1123334,64433751200,10273890819200,175922788,STK
48,034730,KR7034730002,SK,KOSPI,,139300,1,700,0.51,137400,139800,137400,53964,7490124400,10099626527900,72502703,STK
49,000100,KR7000100008,유한양행,KOSPI,,123300,2,-7800,-5.95,129200,131800,123100,1244398,157372993550,9889777591200,80209064,STK
