Date,Open,High,Low,Close,Volume,Change
2017-03-28,9239,9261,9239,9266,10,
2017-03-29,9288,9288,9202,9256,70,-0.0010792143319663383
2017-03-30,9223,9223,9223,9225,1,-0.0033491789109766357
2017-03-31,9174,9174,9174,9176,1,-0.005311653116531145
2017-04-03,9172,9213,9172,9216,10,0.0043591979075849885
2017-04-04,9239,9239,9239,9242,0,0.0028211805555555802
2017-04-05,9239,9239,9239,9242,0,0.0
2017-04-06,9202,9202,9202,9206,1,-0.003895260766067943
2017-04-07,9244,9266,9203,9271,107,0.007060612643927877
2017-04-10,9174,9174,9125,9126,12,-0.015640168266637944
2017-04-11,9167,9167,9076,9080,3,-0.00504054350208194
2017-04-12,9086,9091,9064,9068,6,-0.001321585903083733
2017-04-13,9163,9194,9163,9166,1103,0.01080723423026031
2017-04-14,9197,9197,9186,9192,127,0.0028365699323587013
2017-04-17,9351,9351,9342,9347,10,0.016862489120974766
2017-04-18,9366,9366,9366,9369,1,0.002353696373167846
2017-04-19,9415,9552,9415,9554,1,0.01974597075461637
2017-04-20,9638,9724,9638,9730,1,0.018421603516851626
2017-04-21,9860,9883,9860,9886,29,0.016032887975333976
2017-04-24,9866,9866,9866,9868,9,-0.0018207566255310503
2017-04-25,9671,9671,9671,9673,1,-0.019760843129306815
2017-04-26,9734,9734,9734,9738,1,0.006719735345807942
2017-04-27,9639,9639,9554,9558,64,-0.01848428835489835
2017-04-28,9567,9567,9567,9571,0,0.00136011717932627
2017-05-02,9636,9636,9597,9598,67,0.002821021836798554
2017-05-04,9698,9873,9698,9877,113,0.02906855594915614
2017-05-08,9995,10132,9974,10133,180,0.02591880125544188
2017-05-10,10469,10528,10244,10341,8156,0.020526991019441443
2017-05-11,10441,10474,10441,10476,122,0.01305483028720622
2017-05-12,10369,10369,10369,10373,9,-0.009831996945399046
2017-05-15,10379,10379,10298,10302,2578,-0.006844692952858389
2017-05-16,10424,10424,10293,10306,22,0.0003882741215297525
2017-05-17,10423,10513,10423,10462,5394,0.015136813506695157
2017-05-18,10446,10446,10370,10382,96,-0.00764672146817047
2017-05-19,10450,10450,10388,10391,14,0.0008668849932575995
2017-05-22,10387,10410,10373,10412,53,0.002020979693965863
2017-05-23,10414,10414,10414,10417,84,0.0004802151363811902
2017-05-24,10540,10564,10501,10567,59,0.014399539214745127
2017-05-25,10563,10576,10563,10580,117,0.001230245102678218
2017-05-26,10594,10594,10528,10530,116,-0.00472589792060496
2017-05-29,10609,10609,10609,10612,440,0.007787274453941118
2017-05-30,10679,10679,10675,10679,115,0.00631360723709018
2017-05-31,10662,10725,10603,10675,287,-0.0003745669070137625
2017-06-01,10704,10752,10671,10710,54136,0.003278688524590123
2017-06-02,10708,10729,10685,10687,2612,-0.002147525676937434
2017-06-05,10775,10775,10737,10742,409,0.0051464395995133305
2017-06-07,10680,10699,10614,10620,3424,-0.011357289145410565
2017-06-08,10666,10698,10517,10701,624,0.007627118644067732
2017-06-09,10694,10694,10604,10612,258,-0.008316979721521345
2017-06-12,10527,10527,10392,10476,4206,-0.012815680361854542
2017-06-13,10523,10523,10419,10441,28,-0.0033409698358152218
2017-06-14,10436,10474,10414,10476,441,0.0033521693324394253
2017-06-15,10474,10549,10402,10427,2605,-0.004677357770141222
2017-06-16,10423,10423,10378,10422,33,-0.00047952431188258426
2017-06-19,10397,10397,10321,10322,943,-0.00959508731529457
2017-06-20,10306,10306,10245,10248,16,-0.007169153264871109
2017-06-21,10208,10270,10153,10219,2558,-0.002829820452771248
2017-06-22,10174,10193,10174,10197,10,-0.0021528525296017342
2017-06-23,10257,10257,10203,10238,364,0.004020790428557408
2017-06-26,10234,10234,10153,10156,967,-0.00800937683141234
2017-06-27,10261,10261,10226,10228,1308,0.007089405277668437
2017-06-28,10226,10226,10226,10228,14,0.0
2017-06-29,10093,10093,10027,10085,248,-0.013981228001564316
2017-06-30,10081,10153,10081,10156,131,0.007040158651462569
2017-07-03,10153,10184,10144,10184,4319,0.002756990941315429
2017-07-04,10157,10157,10035,10039,6,-0.014238020424194864
2017-07-05,9978,9978,9952,9963,119,-0.0075704751469269915
2017-07-06,9912,9912,9912,9914,1,-0.004918197330121443
2017-07-07,9819,9819,9819,9822,0,-0.009279806334476448
2017-07-10,9728,9728,9629,9664,204,-0.016086336794950085
2017-07-11,9740,9740,9700,9702,113,0.0039321192052981235
2017-07-12,9695,9695,9661,9664,16,-0.003916718202432445
2017-07-13,9690,9702,9658,9661,232,-0.0003104304635761501
2017-07-14,9643,9734,9643,9738,48,0.007970189421385054
2017-07-17,9738,9738,9666,9730,37,-0.0008215239268843932
2017-07-18,9725,9755,9725,9755,14,0.002569373072970116
2017-07-19,9866,9866,9853,9855,3,0.01025115325474113
2017-07-20,9961,9961,9844,9850,318,-0.0005073566717402889
2017-07-21,9853,9853,9725,9765,2683,-0.00862944162436552
2017-07-24,9832,9855,9806,9822,4173,0.005837173579108956
2017-07-25,9869,9878,9811,9882,90,0.006108735491753281
2017-07-26,9994,9999,9969,9990,1389,0.010928961748633892
2017-07-27,10004,10018,9981,9985,12,-0.0005005005005005447
2017-07-28,9982,10087,9982,10066,1467,0.008112168252378593
2017-07-31,9932,10006,9825,9865,1013,-0.019968209815219518
2017-08-01,9763,9918,9763,9845,3608,-0.0020273694880892368
2017-08-02,9842,9842,9838,9841,21,-0.0004062976130014828
2017-08-03,9740,9759,9740,9750,12,-0.009247027741083214
2017-08-04,9728,9728,9676,9678,15,-0.007384615384615434
2017-08-07,9703,9759,9687,9692,1122,0.0014465798718743539
2017-08-08,9692,9692,9597,9598,128,-0.009698720594304544
