Date,Open,High,Low,Close,Volume,Change
2018-03-26,13167,13326,13113,13330,3007,
2018-03-27,13417,13431,13365,13385,1408,0.004126031507877048
2018-03-28,13226,13226,13132,13198,932,-0.01397086290623828
2018-03-29,13245,13299,13186,13302,353,0.007879981815426484
2018-03-30,13370,13440,13367,13370,228,0.0051120132310931155
2018-04-02,13385,13450,13314,13325,89002,-0.0033657442034404905
2018-04-03,13199,13296,13153,13298,278,-0.0020262664165102695
2018-04-04,13286,13286,13068,13070,256617,-0.017145435403820075
2018-04-05,13182,13336,13137,13235,144,0.012624330527926553
2018-04-06,13154,13236,13151,13217,73108,-0.001360030222893882
2018-04-09,13218,13308,13218,13302,65,0.0064311114473782904
2018-04-10,13254,13345,13145,13325,109842,0.0017290632987521093
2018-04-11,13323,13341,13241,13249,62,-0.005703564727954968
2018-04-12,13330,13345,13277,13284,58,0.0026417088082120177
2018-04-13,13336,13354,13291,13339,162,0.004140319180969687
2018-04-16,13359,13359,13281,13316,70,-0.0017242671864458048
2018-04-17,13372,13381,13319,13344,2357,0.0021027335536196734
2018-04-18,13382,13515,13382,13494,213980,0.01124100719424459
2018-04-19,13465,13551,13443,13494,108119,0.0
2018-04-20,13482,13506,13428,13449,107520,-0.0033348154735437507
2018-04-23,13373,13447,13366,13394,35981,-0.004089523384638305
2018-04-24,13437,13437,13315,13344,395,-0.003733014782738575
2018-04-25,13187,13277,13168,13230,291746,-0.008543165467625902
2018-04-26,13332,13464,13332,13444,82,0.01617535903250178
2018-04-27,13527,13590,13467,13530,358,0.0063969056828325765
2018-04-30,13641,13645,13595,13644,223,0.00842572062084268
2018-05-02,13646,13646,13579,13599,75,-0.0032981530343008103
2018-05-03,13480,13480,13371,13420,59,-0.013162732553864243
2018-05-04,13499,13499,13367,13370,52,-0.0037257824143069884
2018-05-08,13414,13414,13237,13240,433,-0.00972326103216159
2018-05-09,13284,13294,13180,13269,53,0.0021903323262839614
2018-05-10,13291,13308,13245,13306,54,0.0027884542919587307
2018-05-11,13372,13450,13372,13403,121,0.007289944385991287
2018-05-14,13446,13458,13368,13385,52,-0.0013429829142729277
2018-05-15,13422,13422,13245,13289,64,-0.007172207695181121
2018-05-16,13186,13340,13186,13335,98,0.0034615095191512513
