Date,Open,High,Low,Close,Volume,Change
2018-09-12,9681,9706,9485,9525,899939,
2018-09-13,9528,9589,9489,9491,706234,-0.0035695538057742837
2018-09-14,9618,9656,9540,9645,599399,0.01622589821936571
2018-09-17,9700,9759,9634,9699,501981,0.005598755832037394
2018-09-18,9636,9888,9627,9872,486414,0.01783689040107217
2018-09-19,9981,9981,9811,9857,508289,-0.001519448946515345
2018-09-20,9841,9841,9676,9728,472021,-0.013087146190524535
2018-09-21,9803,9803,9711,9807,559336,0.00812088815789469
2018-09-27,9798,10035,9765,9970,526450,0.01662078107474252
2018-09-28,9981,10073,9835,9921,478975,-0.0049147442326981094
2018-10-01,9946,10010,9845,9877,432342,-0.004435036790646052
2018-10-02,9890,9997,9696,9724,454101,-0.015490533562822706
2018-10-04,9725,9745,9411,9443,423041,-0.028897573015220113
2018-10-05,9434,9434,9149,9252,460063,-0.020226622895266333
2018-10-08,9185,9375,9148,9150,431214,-0.011024643320363126
2018-10-10,9234,9234,8976,9092,442045,-0.006338797814207653
2018-10-11,8826,8900,8669,8694,480434,-0.04377474703035633
2018-10-12,8695,9151,8695,9087,514108,0.045203588681849594
2018-10-15,9138,9235,9074,9141,480534,0.005942555298778407
2018-10-16,9236,9264,9109,9175,394925,0.0037195055245595743
2018-10-17,9312,9405,9241,9291,406972,0.01264305177111713
2018-10-18,9346,9351,9174,9199,540894,-0.009902055752879169
2018-10-19,9143,9317,9030,9266,477255,0.007283400369605397
2018-10-22,9275,9529,9182,9529,630879,0.028383336930714487
2018-10-23,9467,9486,9063,9112,659717,-0.04376115017315563
2018-10-24,9240,9258,8802,8931,579942,-0.019863915715539915
2018-10-25,8704,9083,8608,9087,518188,0.017467248908296984
2018-10-26,9172,9230,8653,8863,585897,-0.024650599757895852
2018-10-29,8991,9088,8693,8728,280386,-0.015231862800406226
2018-10-30,8668,8904,8609,8859,262443,0.015009165902841515
2018-10-31,8861,8972,8754,8971,273266,0.012642510441359
2018-11-01,9024,9097,8787,8790,288697,-0.02017612306320371
2018-11-02,8931,9222,8931,9223,291679,0.04926052332195674
2018-11-05,9089,9147,8977,9126,259485,-0.010517185297625464
2018-11-06,9176,9204,8986,9077,268058,-0.005369274600043883
2018-11-07,9073,9142,8905,8951,231865,-0.013881238294590759
2018-11-08,9067,9189,9025,9028,687694,0.008602390794324677
2018-11-09,9024,9082,8806,8810,257152,-0.024147097917589733
2018-11-12,8748,8810,8695,8761,245077,-0.005561861520998912
2018-11-13,8623,8825,8471,8830,256280,0.007875813263326092
2018-11-14,8797,8815,8705,8738,241763,-0.010419026047565172
2018-11-15,8700,8856,8658,8859,186583,0.013847562371251954
2018-11-16,8859,8933,8792,8820,236121,-0.004402302742973263
2018-11-19,8812,8943,8812,8878,276007,0.006575963718820965
2018-11-20,8802,8846,8625,8645,256660,-0.026244649695877476
2018-11-21,8498,8679,8458,8680,276000,0.004048582995951344
2018-11-22,8678,8683,8562,8592,257742,-0.010138248847926246
2018-11-23,8713,8713,8243,8251,333568,-0.03968808193668527
2018-11-26,8264,8332,8205,8329,274631,0.00945339958792868
2018-11-27,8415,8456,8283,8426,305359,0.011646055949093626
2018-11-28,8447,8471,8283,8319,235681,-0.012698789461191518
2018-11-29,8427,8471,8337,8339,241495,0.0024041351123933463
2018-11-30,8415,8457,8367,8369,276100,0.00359755366350889
2018-12-03,8497,8719,8497,8703,259227,0.03990918867248183
2018-12-04,8720,8720,8572,8621,288237,-0.00942203837757094
2018-12-05,8448,8535,8400,8490,202552,-0.01519545296369329
2018-12-06,8485,8485,8209,8251,248038,-0.028150765606596018
2018-12-07,8276,8354,8199,8275,269927,0.0029087383347472517
2018-12-10,8155,8194,7963,8037,236795,-0.028761329305135974
2018-12-11,8078,8092,8026,8047,375144,0.0012442453651859697
2018-12-12,8107,8232,8107,8213,198034,0.020628805766123914
2018-12-13,8259,8389,8219,8314,229560,0.01229757701205414
2018-12-14,8335,8369,8097,8154,253214,-0.019244647582391194
2018-12-17,8131,8184,8078,8140,230232,-0.0017169487368162706
2018-12-18,7970,8073,7909,7960,224358,-0.02211302211302213
2018-12-19,7975,8276,7975,8246,272038,0.035929648241205925
2018-12-20,8175,8247,8078,8193,371255,-0.0064273587193790505
2018-12-21,8181,8461,8166,8416,251152,0.027218357134138893
2018-12-24,8371,8419,8294,8369,337138,-0.005584600760456304
2018-12-26,8186,8360,8181,8334,342255,-0.004182100609391837
2018-12-27,8556,8566,8396,8397,415918,0.0075593952483801186
2018-12-28,8457,8501,8319,8397,274970,0.0
2019-01-02,8466,8496,8064,8096,580878,-0.03584613552459215
2019-01-03,8097,8126,7890,7902,595325,-0.023962450592885376
2019-01-04,7842,7939,7748,7940,835354,0.004808909136927442
2019-01-07,8098,8355,8098,8310,728746,0.046599496221662484
2019-01-08,8375,8375,8244,8310,681036,0.0
2019-01-09,8351,8540,8333,8524,780316,0.025752105896510225
2019-01-10,8526,8565,8457,8552,738806,0.003284842796809073
2019-01-11,8570,8613,8516,8547,691494,-0.0005846585594012632
2019-01-14,8525,8535,8423,8490,6812,-0.006669006669006716
2019-01-15,8488,8663,8463,8621,14378,0.015429917550058958
2019-01-16,8658,8738,8619,8708,15091,0.010091636701078821
2019-01-17,8725,8734,8562,8572,13139,-0.015617822691777694
2019-01-18,8614,8700,8605,8612,7752,0.004666355576294912
2019-01-21,8644,8668,8542,8602,46895,-0.0011611704598235573
2019-01-22,8683,8683,8532,8562,16928,-0.004650081376424087
2019-01-23,8527,8624,8502,8582,3518,0.002335902826442471
2019-01-24,8536,8570,8501,8539,9086,-0.005010487065951974
2019-01-25,8515,8824,8481,8820,95809,0.03290783464105873
2019-01-28,8859,8878,8753,8785,28682,-0.003968253968253954
2019-01-29,8753,8800,8709,8800,14012,0.0017074558907228532
2019-01-30,8841,8924,8763,8882,29098,0.009318181818181781
2019-01-31,8975,8975,8753,8775,19271,-0.01204683629813108
2019-02-01,8772,8849,8772,8780,22038,0.0005698005698004938
2019-02-07,8835,9024,8815,9023,95297,0.027676537585421324
2019-02-08,8957,9006,8856,8907,32152,-0.012856034578299869
2019-02-11,8934,8953,8836,8912,9508,0.0005613562366677538
2019-02-12,8919,8967,8861,8892,8899,-0.002244165170556589
2019-02-13,8929,8995,8929,8994,27896,0.011470985155195734
2019-02-14,8962,9034,8879,9038,10860,0.004892150322437283
2019-02-15,9034,9034,8885,8951,12500,-0.009626023456516974
2019-02-18,8992,9128,8992,9131,20138,0.020109484973745984
2019-02-19,9169,9289,9085,9252,118374,0.013251560617675961
2019-02-20,9283,9322,9216,9281,14858,0.0031344574146130455
2019-02-21,9289,9303,9174,9204,12819,-0.008296519771576305
2019-02-22,9189,9189,8934,9033,53196,-0.018578878748370276
2019-02-25,9034,9097,9006,9092,40669,0.00653160633233707
2019-02-26,9106,9106,8981,9013,15029,-0.008688957325120983
2019-02-27,9006,9043,8962,9043,9860,0.0033285254632198225
2019-02-28,9068,9117,8915,8921,12735,-0.013491098086918063
2019-03-04,9025,9063,8885,8926,39816,0.0005604752830399296
2019-03-05,8900,8900,8664,8675,39908,-0.028120098588393483
2019-03-06,8705,8777,8668,8738,12845,0.00726224783861662
2019-03-07,8758,8763,8580,8612,23309,-0.014419775692378067
2019-03-08,8619,8663,8547,8612,27420,0.0
2019-03-11,8598,8598,8415,8524,38720,-0.01021830004644686
2019-03-12,8567,8629,8567,8607,35367,0.009737212576255372
2019-03-13,8580,8589,8493,8582,27046,-0.0029046125246892096
2019-03-14,8610,8639,8580,8626,13524,0.005127010020974154
2019-03-15,8605,8688,8595,8655,14110,0.003361929051704182
2019-03-18,8658,8668,8552,8562,24873,-0.010745233968804113
2019-03-19,8576,8678,8576,8612,34401,0.005839757066105955
2019-03-20,8598,8598,8438,8539,40894,-0.008476544356711524
2019-03-21,8657,8869,8657,8815,67403,0.03232228598196518
2019-03-22,8811,8845,8715,8753,20712,-0.007033465683494056
2019-03-25,8545,8578,8448,8475,52772,-0.031760539243687824
2019-03-26,8491,8505,8438,8465,12808,-0.0011799410029498247
2019-03-27,8461,8461,8380,8436,26273,-0.0034258712344950037
2019-03-28,8393,8393,8248,8266,27199,-0.02015173067804643
2019-03-29,8263,8263,8078,8266,25083,0.0
2019-04-01,8274,8423,8274,8412,28667,0.017662714735059204
2019-04-02,8423,8462,8372,8393,23125,-0.0022586780789348726
2019-04-03,8361,8525,8361,8524,25910,0.015608244966043072
2019-04-04,8530,8574,8467,8500,34703,-0.002815579540122015
2019-04-05,8570,8570,8477,8529,23089,0.0034117647058824474
2019-04-08,8532,8624,8532,8597,13923,0.007972798686833205
2019-04-09,8688,8688,8585,8660,11154,0.007328137722461214
2019-04-10,8630,8635,8532,8636,8409,-0.0027713625866050418
2019-04-11,8650,8693,8650,8660,18553,0.0027790643816580918
2019-04-12,8650,8715,8620,8690,11993,0.0034642032332563577
2019-04-15,8705,8739,8669,8685,12791,-0.0005753739930954849
2019-04-16,8674,8689,8620,8690,24311,0.0005757052389177009
2019-04-17,8679,8734,8664,8694,6236,0.0004602991944764323
2019-04-18,8720,8768,8572,8597,9136,-0.011157119852772013
2019-04-19,8619,8619,8576,8602,10976,0.0005815982319414825
2019-04-22,8619,8663,8562,8597,5013,-0.0005812601720530663
2019-04-23,8605,8609,8572,8607,4708,0.001163196463882743
2019-04-24,8583,8593,8448,8485,11142,-0.014174509120483347
2019-04-25,8461,8476,8410,8451,7088,-0.00400707130229816
2019-04-26,8432,8432,8323,8349,15173,-0.012069577564785217
2019-04-29,8328,8440,8308,8442,6556,0.011139058569888505
2019-04-30,8454,8459,8324,8408,10502,-0.004027481639421904
2019-05-02,8367,8463,8367,8457,17097,0.005827783063748759
2019-05-03,8459,8493,8425,8472,20913,0.0017736786094360024
2019-05-07,8336,8361,8303,8329,12045,-0.01687913125590179
2019-05-08,8222,8276,8222,8260,8019,-0.008284307840076832
2019-05-09,8237,8237,7874,7887,40999,-0.045157384987893456
2019-05-10,7864,7991,7756,7877,107434,-0.0012679092177000362
2019-05-13,7781,7846,7669,7680,54079,-0.025009521391392675
2019-05-14,7561,7718,7531,7616,35726,-0.008333333333333304
2019-05-15,7648,7903,7643,7896,9412,0.03676470588235303
2019-05-16,7885,7910,7715,7725,23332,-0.021656534954407336
2019-05-17,7766,7854,7669,7685,8715,-0.00517799352750814
2019-05-20,7728,7746,7501,7504,7508,-0.023552374756018235
2019-05-21,7501,7608,7501,7563,6570,0.007862473347548082
2019-05-22,7638,7638,7561,7611,17253,0.00634668782229264
2019-05-23,7604,7604,7521,7581,10346,-0.003941663381947236
2019-05-24,7506,7550,7457,7519,11475,-0.008178340588312905
2019-05-27,7501,7608,7487,7544,8466,0.0033249102274237607
2019-05-28,7496,7570,7472,7524,7189,-0.002651113467656452
2019-05-29,7525,7525,7417,7454,15472,-0.009303561935140925
2019-05-30,7516,7713,7516,7651,132121,0.026428763080225348
2019-05-31,7645,7747,7596,7720,16084,0.00901842896353422
2019-06-03,7665,7838,7650,7839,69285,0.015414507772020691
2019-06-04,7836,7976,7826,7960,103767,0.015435642301314001
2019-06-05,8032,8042,7847,7858,48558,-0.012814070351758744
2019-06-07,7893,7938,7850,7887,53063,0.0036905064902010842
2019-06-10,7953,7953,7864,7950,12406,0.007987828071509995
2019-06-11,7959,8026,7864,7999,36110,0.006163522012578637
2019-06-12,7996,7996,7894,7930,18570,-0.008626078259782455
2019-06-13,7982,8075,7959,8058,65161,0.016141235813367016
2019-06-14,8035,8035,7928,7964,21802,-0.011665425663936468
2019-06-17,7971,7971,7879,7882,24910,-0.01029633350075343
2019-06-18,7884,7914,7851,7858,5877,-0.003044912458766813
2019-06-19,7981,7986,7874,7930,6772,0.009162636803257795
2019-06-20,7949,8011,7934,8004,10303,0.009331651954602727
2019-06-21,7996,7996,7934,7945,11159,-0.007371314342828561
2019-06-24,7962,7971,7894,7925,10563,-0.0025173064820641633
2019-06-25,7981,8055,7924,7945,14762,0.0025236593059936308
2019-06-26,7919,7919,7851,7873,11328,-0.009062303335431121
2019-06-27,7883,7990,7878,7974,17573,0.01282865489648155
2019-06-28,7972,8011,7944,8004,3572,0.003762227238525151
2019-07-01,8100,8129,8061,8113,17844,0.013618190904547633
2019-07-02,8109,8129,8061,8078,7988,-0.004314063848144922
2019-07-03,8080,8216,8080,8137,23523,0.007303788066353123
2019-07-04,8179,8307,8179,8289,26704,0.018680103232149525
2019-07-05,8321,8321,8168,8245,31355,-0.005308239835927098
2019-07-08,8207,8207,7962,7964,25715,-0.03408126137052758
2019-07-09,7983,8008,7803,7814,15511,-0.018834756403817154
2019-07-10,7855,7900,7788,7849,28004,0.004479140005118953
2019-07-11,7908,8000,7908,7984,7261,0.017199643266658127
2019-07-12,7962,8172,7962,8166,11349,0.02279559118236474
2019-07-15,8163,8236,8119,8230,21848,0.007837374479549242
2019-07-16,8258,8366,8258,8319,17664,0.010814094775212668
2019-07-17,8322,8336,8228,8289,35707,-0.0036062026685900195
2019-07-18,8286,8350,8217,8260,19078,-0.0034986126191337563
2019-07-19,8293,8332,8258,8309,7112,0.0059322033898305815
2019-07-22,8308,8341,8268,8329,7037,0.0024070285232880018
2019-07-23,8336,8390,8303,8314,20362,-0.0018009364869732147
2019-07-24,8301,8335,8198,8216,16917,-0.011787346644214547
2019-07-25,8157,8157,7958,7964,64285,-0.030671859785783795
2019-07-26,7928,7953,7841,7915,16530,-0.006152687091913633
2019-07-29,7894,7894,7654,7695,34675,-0.027795325331648746
2019-07-30,7695,7797,7690,7785,7016,0.011695906432748648
2019-07-31,7859,7913,7698,7877,195549,0.011817597944765668
2019-08-01,7812,7870,7753,7799,52134,-0.009902247048368618
2019-08-02,7625,7822,7625,7765,41048,-0.004359533273496585
2019-08-05,7741,7741,7432,7444,84881,-0.041339343206696744
2019-08-06,7196,7481,7123,7272,57163,-0.02310585706609347
2019-08-07,7303,7406,7259,7365,13806,0.012788778877887763
2019-08-08,7452,7510,7408,7484,9176,0.016157501697216636
2019-08-09,7560,7570,7496,7549,24330,0.008685195082843489
2019-08-12,7531,7613,7487,7576,3446,0.003576632666578261
2019-08-13,7505,7505,7412,7434,13509,-0.01874340021119325
2019-08-14,7556,7619,7556,7621,26221,0.02515469464622
2019-08-16,7468,7567,7468,7568,6247,-0.00695446791759613
2019-08-19,7575,7608,7546,7586,25394,0.0023784355179703454
2019-08-20,7591,7737,7591,7730,41592,0.01898233588188769
2019-08-21,7729,7742,7690,7720,14518,-0.001293661060802087
2019-08-22,7713,7723,7624,7636,14270,-0.010880829015543991
2019-08-23,7552,7747,7552,7735,9884,0.01296490309062337
