Date,Open,High,Low,Close,Volume,Change
2006-06-27,5892,5915,5788,5919,1137965,
2006-06-28,5828,5949,5716,5956,426630,0.006251055921608462
2006-06-29,6018,6024,5912,6020,292935,0.01074546675621213
2006-06-30,6128,6128,6017,6111,426595,0.015116279069767424
2006-07-03,6111,6111,5990,6049,308711,-0.010145639011618357
2006-07-04,6058,6058,5940,5959,480122,-0.014878492312778935
2006-07-05,5853,5900,5853,5900,251599,-0.00990099009900991
2006-07-06,5843,5843,5693,5807,302660,-0.01576271186440681
2006-07-07,5832,5832,5747,5777,259805,-0.0051661787497847556
2006-07-10,5739,5804,5693,5807,219259,0.005193006750908724
2006-07-11,5796,5828,5756,5836,431395,0.004993972791458523
2006-07-12,5832,5832,5773,5824,418220,-0.0020562028786840214
2006-07-13,5784,5789,5659,5794,379655,-0.005151098901098883
2006-07-14,5716,5716,5452,5489,479437,-0.052640662754573686
2006-07-18,5386,5386,5297,5375,503347,-0.020768810347968625
2006-07-19,5367,5419,5329,5392,205841,0.0031627906976743336
2006-07-20,5471,5630,5471,5538,273914,0.027077151335311633
2006-07-21,5521,5608,5515,5613,253541,0.013542795232936111
2006-07-24,5570,5570,5475,5574,332520,-0.006948156066274747
2006-07-25,5576,5665,5576,5633,274091,0.010584858270541897
2006-07-26,5662,5694,5620,5701,298647,0.012071720220131477
2006-07-27,5699,5747,5658,5755,365000,0.009472022452201356
2006-07-28,5787,5787,5636,5665,332889,-0.0156385751520417
2006-07-31,5822,5822,5650,5654,127713,-0.001941747572815511
2006-08-01,5657,5688,5602,5609,300325,-0.007958967102935977
2006-08-02,5580,5718,5563,5723,273014,0.02032447851666963
2006-08-03,5784,5784,5663,5768,181278,0.007863008911410008
2006-08-04,5779,5779,5760,5786,140293,0.003120665742025075
2006-08-07,5780,5808,5780,5810,114838,0.0041479433114413045
2006-08-08,5794,5799,5790,5802,115261,-0.001376936316695332
2006-08-09,5797,5890,5797,5858,278831,0.009651844191657988
2006-08-10,5853,5857,5756,5862,114573,0.0006828269033800627
2006-08-11,5947,5947,5740,5746,1866,-0.019788468099624756
2006-08-14,5789,5789,5766,5771,137756,0.00435085276714231
2006-08-16,5820,5897,5820,5904,137532,0.02304626581181779
2006-08-17,5919,5989,5901,5980,140594,0.01287262872628725
2006-08-18,5958,6042,5948,5980,138106,0.0
2006-08-21,5999,6074,5979,5984,138312,0.0006688963210701449
2006-08-22,6047,6077,6006,6085,229088,0.016878342245989275
2006-08-23,6038,6086,6038,6090,207803,0.0008216926869351049
2006-08-24,6076,6076,5998,6072,137921,-0.002955665024630516
2006-08-25,6078,6104,6043,6095,137627,0.0037878787878788955
2006-08-28,6103,6103,6042,6085,138448,-0.001640689089417502
2006-08-29,6078,6148,6078,6090,139954,0.0008216926869351049
2006-08-30,6095,6127,6079,6119,138017,0.004761904761904745
2006-08-31,6113,6288,6113,6221,184929,0.016669390423271757
2006-09-01,6311,6335,6262,6343,138355,0.019610995016878352
2006-09-04,6335,6452,6335,6411,139134,0.010720479268484961
2006-09-05,6554,6554,6373,6387,140458,-0.0037435657463734673
2006-09-06,6398,6434,6385,6391,142367,0.0006262721152341388
2006-09-07,6342,6382,6316,6326,139331,-0.010170552339227035
2006-09-08,6312,6385,6312,6354,183104,0.0044261776794183305
2006-09-11,6314,6314,6236,6248,144524,-0.01668240478438776
2006-09-12,6242,6296,6194,6235,137956,-0.002080665813060212
2006-09-13,6232,6335,6232,6343,136820,0.017321571772253463
2006-09-14,6932,6932,6239,6378,138570,0.005517893741131985
2006-09-15,6334,6416,6334,6423,137783,0.007055503292568099
2006-09-18,6433,6517,6433,6524,138663,0.015724739218433648
2006-09-19,6598,6598,6521,6543,140017,0.0029123237277743907
2006-09-20,6513,6555,6450,6560,2006,0.0025981965459269674
2006-09-21,6553,6572,6457,6463,138087,-0.014786585365853644
2006-09-22,6458,6458,6332,6361,4881,-0.015782144514931096
2006-09-25,6354,6389,6332,6387,139755,0.004087407640308127
2006-09-26,5871,6381,5871,6271,138839,-0.018161891341788028
2006-09-27,6353,6405,6353,6411,138229,0.022324988040185012
2006-09-28,6838,6838,6351,6443,138732,0.004991420995164475
2006-09-29,6448,6473,6411,6479,901,0.005587459258109551
2006-10-02,6436,6510,6436,6500,208,0.0032412409322426505
2006-10-04,6455,6455,6356,6419,471,-0.012461538461538413
2006-10-09,6345,6345,6086,6170,4725,-0.038791088954665875
2006-10-10,6834,6834,6138,6165,25870,-0.0008103727714748876
2006-10-11,6215,6215,6159,6178,136873,0.0021086780210868294
2006-10-12,6194,6201,6176,6195,137160,0.0027516995791518895
2006-10-13,6407,6407,6193,6242,236845,0.00758676351896681
2006-10-16,6284,6326,6262,6286,1054,0.007049022749118894
2006-10-17,6279,6279,6171,6178,2259,-0.01718103722558062
2006-10-18,6310,6310,6174,6238,827,0.009711880867594669
2006-10-19,6231,6242,6223,6230,353,-0.0012824623276691538
2006-10-20,6222,6261,6222,6248,963,0.002889245585874889
2006-10-23,6242,6311,6207,6235,1175,-0.002080665813060212
2006-10-24,6230,6261,6230,6267,2323,0.005132317562149158
2006-10-25,6425,6425,6294,6299,799,0.005106111377054523
2006-10-26,6294,6337,6294,6304,1434,0.0007937767899666159
