Date,Open,High,Low,Close,Volume,Change
2006-06-27,7906,8041,7888,8050,630109,
2006-06-28,7705,7982,7705,7991,356984,-0.007329192546583818
2006-06-29,8133,8133,8101,8104,383018,0.014140908522087381
2006-06-30,8379,8379,8224,8323,304552,0.027023692003948607
2006-07-03,8397,8397,8306,8379,278049,0.006728343145500526
2006-07-04,8399,8457,8327,8352,324010,-0.0032223415682062218
2006-07-05,8230,8417,8230,8370,264727,0.0021551724137931494
2006-07-06,8397,8397,8214,8313,245737,-0.006810035842293893
2006-07-07,8402,8402,8352,8388,218444,0.009022013713460897
2006-07-10,8353,8503,8280,8509,234100,0.014425369575584268
2006-07-11,8466,8634,8447,8638,324263,0.015160418380538276
2006-07-12,8632,8695,8543,8676,362074,0.00439916647372085
2006-07-13,8568,8692,8568,8667,291920,-0.0010373443983402453
2006-07-14,8659,8659,8442,8544,319111,-0.014191761855313234
2006-07-18,7723,8446,7723,8347,420334,-0.023057116104868935
2006-07-19,8339,8398,8306,8408,206222,0.007308014855636813
2006-07-20,8576,8576,8413,8505,577666,0.011536631779257789
2006-07-21,8169,8485,8169,8492,126617,-0.0015285126396237247
2006-07-24,8447,8485,8353,8492,129000,0.0
2006-07-25,8541,8549,8512,8553,169138,0.00718323127649545
2006-07-26,8577,8577,8522,8573,313439,0.0023383608090727925
2006-07-27,8578,8629,8542,8629,130830,0.006532135775107806
2006-07-28,8735,8735,8542,8621,147674,-0.000927106269556166
2006-07-31,8658,8790,8658,8795,169072,0.02018327340215742
2006-08-01,8791,8860,8577,8862,232537,0.007617964752700379
2006-08-02,8807,8807,8686,8809,294196,-0.0059805912886481405
2006-08-03,8817,8863,8752,8795,253780,-0.0015892836871381766
2006-08-04,8819,9191,8697,8824,275588,0.0032973280272883265
2006-08-07,8910,8949,8789,8804,106155,-0.002266545784224805
2006-08-08,8800,8800,8717,8723,105881,-0.009200363471149497
2006-08-09,9283,9283,8701,8773,272033,0.00573197294508776
2006-08-10,8766,8809,8678,8814,215617,0.0046734298415593845
2006-08-11,8835,9238,8744,8750,91265,-0.007261175402768272
2006-08-14,8902,8902,8650,8733,129197,-0.001942857142857135
2006-08-16,8818,8818,8735,8814,195688,0.00927516317416699
2006-08-17,8930,9041,8874,8936,170738,0.01384161561152708
2006-08-18,9097,9133,8956,9130,132228,0.02170993733213966
2006-08-21,9282,9282,9067,9104,194803,-0.0028477546549835475
2006-08-22,9097,9265,9004,9177,106947,0.008018453427065086
2006-08-23,9064,9271,9033,9273,151934,0.010460934946060707
2006-08-24,9095,9100,8912,9030,131769,-0.02620511161436423
2006-08-25,8917,9284,8917,9162,105280,0.0146179401993356
2006-08-28,9248,9258,9116,9220,212022,0.006330495524994539
2006-08-29,9154,9285,9154,9288,130121,0.007375271149674623
2006-08-30,9375,9375,9280,9317,126020,0.0031223083548665986
2006-08-31,9307,9535,9307,9540,173267,0.02393474294300746
2006-09-01,9654,9695,9469,9703,129329,0.017085953878406723
2006-09-04,9699,10118,9621,9749,150970,0.004740801813871931
2006-09-05,9745,9745,9596,9666,132047,-0.008513693712175585
2006-09-06,9690,9746,9649,9694,128980,0.0028967515001034894
2006-09-07,9300,9653,9300,9633,131681,-0.006292552094078863
2006-09-08,9655,9869,9627,9875,213434,0.025121976538980517
2006-09-11,9866,9866,9653,9754,129119,-0.012253164556962015
2006-09-12,9736,9793,9607,9707,132043,-0.004818535985236849
2006-09-13,9794,9869,9748,9802,131489,0.009786751828577245
2006-09-14,9787,9878,9748,9848,127302,0.004692919812283147
2006-09-15,9840,10167,9832,10171,129424,0.0327985377741673
2006-09-18,10210,10396,10165,10312,282993,0.013862943663356608
2006-09-19,10315,10353,10166,10330,116751,0.001745539177657074
2006-09-20,10315,10315,9982,10070,31210,-0.02516940948693125
2006-09-21,10270,10270,9915,9995,144063,-0.007447864945382299
2006-09-22,9923,9923,9704,9710,7022,-0.028514257128564258
2006-09-25,9543,9749,9543,9735,139549,0.002574665293511913
2006-09-26,9748,9894,9616,9671,132828,-0.006574216743708283
2006-09-27,9657,9833,9657,9829,132827,0.016337503877572157
2006-09-28,9839,9905,9839,9903,110785,0.007528741479295942
2006-09-29,9897,9958,9897,9957,5740,0.005452893062708242
2006-10-02,10111,10111,9765,9985,130025,0.0028120919955809676
2006-10-04,9933,9933,9748,9793,4899,-0.019228843264897377
2006-10-09,9611,9779,8316,9470,20846,-0.03298274277545188
2006-10-10,9374,9412,9228,9326,12675,-0.015205913410770822
2006-10-11,9327,9373,9263,9382,129693,0.006004717992708519
2006-10-12,9277,9420,9277,9377,129348,-0.0005329354082285187
2006-10-13,9373,9653,9373,9661,20573,0.030286872133944653
2006-10-16,9748,9836,9682,9788,59501,0.013145637097608853
2006-10-17,9783,9801,9675,9754,5205,-0.0034736411932979605
2006-10-18,9578,9754,9578,9754,2616,0.0
2006-10-19,9831,9831,9661,9707,11990,-0.004818535985236849
2006-10-20,9778,9778,9653,9715,26334,0.0008241475224064487
2006-10-23,9747,9747,9588,9606,6188,-0.01121976325270202
2006-10-24,9748,9748,9520,9530,14004,-0.007911721840516361
2006-10-25,9049,9508,9049,9465,10015,-0.006820566631689395
2006-10-26,9443,9544,9443,9544,8976,0.008346539883782311
2006-10-27,9659,9659,9382,9410,6686,-0.014040234702430876
2006-10-30,9288,9321,9235,9243,7884,-0.017747077577045745
2006-10-31,9238,9470,9238,9474,7260,0.02499188575137934
2006-11-01,9770,9770,9470,9506,4389,0.003377665188938117
2006-11-02,9501,9539,9471,9516,1378,0.0010519671786239915
2006-11-03,9516,9579,9511,9559,2904,0.004518705338377504
2006-11-06,9563,9563,9428,9521,7040,-0.003975311225023592
2006-11-07,9613,9613,9498,9554,4915,0.003466022476630526
2006-11-08,9588,9613,9516,9544,10663,-0.0010466820180029535
2006-11-09,9427,9598,9427,9606,4038,0.006496227996647175
2006-11-10,9617,9626,9528,9633,9672,0.002810743285446504
2006-11-13,9626,9728,9617,9735,7390,0.010588601681719156
2006-11-14,9793,9887,9793,9893,40035,0.01623009758602989
2006-11-15,9980,9980,9873,9937,10945,0.004447589204487956
2006-11-16,9934,9981,9912,9942,400275,0.0005031699708162307
2006-11-17,9934,9954,9883,9957,9396,0.0015087507543753986
2006-11-20,9984,9984,9722,9764,12878,-0.019383348398111844
2006-11-21,9895,9895,9681,9707,11302,-0.00583777140516184
2006-11-22,9748,9866,9748,9871,6651,0.01689502420933353
2006-11-23,9815,9841,9801,9824,24419,-0.004761422348293021
2006-11-24,10211,10211,9709,9807,8340,-0.001730456026058591
2006-11-27,9797,9797,8334,9745,9540,-0.006322014887325422
2006-11-28,9718,9718,9554,9606,14054,-0.014263724987172877
2006-11-29,9635,9660,9579,9646,12320,0.004164064126587652
2006-11-30,9644,9933,9644,9937,17756,0.030167945262284945
2006-12-01,9984,9984,9670,9720,2958,-0.02183757673342057
2006-12-04,9707,9716,9653,9671,21949,-0.005041152263374538
2006-12-05,9768,9768,9643,9680,2582,0.0009306173094818515
2006-12-06,9666,9666,9470,9511,6196,-0.01745867768595044
2006-12-07,9528,9548,9474,9482,3116,-0.0030491010409000596
2006-12-08,9423,9423,9266,9317,7400,-0.01740139211136893
2006-12-11,9192,9347,9192,9273,7097,-0.0047225501770956635
2006-12-12,9284,9284,9163,9167,5800,-0.011431036342068324
2006-12-13,9285,9301,9144,9288,2953,0.013199520017453947
2006-12-14,9335,9489,9285,9492,1427,0.021963824289405576
2006-12-15,9489,9583,9489,9535,49644,0.004530130636325236
2006-12-18,9548,9607,9470,9482,7322,-0.005558468799160998
2006-12-19,9547,9564,9450,9462,1920,-0.00210925964986286
2006-12-20,9471,9563,9471,9535,7173,0.0077150708095539144
2006-12-21,9580,9580,9517,9569,3601,0.0035658101730466907
2006-12-22,9468,9503,9417,9425,4152,-0.015048594419479588
2006-12-26,9375,9447,9285,9317,4822,-0.01145888594164457
2006-12-27,9315,9477,9315,9457,14068,0.015026296018031626
2006-12-28,9563,9563,9443,9544,31594,0.009199534736174186
2007-01-02,9562,9654,9562,9620,4239,0.0079631181894384
2007-01-03,9644,9644,9497,9511,3844,-0.011330561330561317
2007-01-04,9496,9496,9403,9470,5294,-0.0043107980233414445
2007-01-05,9606,9606,9247,9349,10331,-0.012777191129883847
2007-01-08,9301,9329,9209,9336,9376,-0.0013905230505936172
2007-01-09,9270,9330,9235,9238,7780,-0.010497000856897976
2007-01-10,9237,9237,8994,9059,15060,-0.019376488417406357
2007-01-11,9050,9171,9050,9118,6495,0.00651286013908825
2007-01-12,9651,9651,9102,9167,14477,0.005373985523140945
2007-01-15,9173,9285,9173,9288,3295,0.013199520017453947
2007-01-16,9328,9459,9279,9303,5981,0.001614987080103436
2007-01-17,9450,9450,9072,9113,9274,-0.02042351929485109
2007-01-18,9139,9139,8940,8956,11903,-0.01722813563041803
2007-01-19,8836,8836,8638,8648,20152,-0.03439035283608749
2007-01-22,8634,8669,8578,8653,10236,0.0005781683626271406
2007-01-23,8633,8646,8495,8536,7238,-0.013521322084826037
2007-01-24,8470,8707,8470,8714,4507,0.020852858481724468
2007-01-25,9027,9027,8727,8733,1532,0.002180399357355922
2007-01-26,8727,8727,8588,8653,12702,-0.009160654986831607
2007-01-29,8633,8678,8476,8487,4466,-0.019184098000693428
2007-01-30,8477,8477,8333,8430,8754,-0.0067161541180629225
