Date,Open,High,Low,Close,Volume,Change
2009-10-30,6765,6776,6630,6637,14070,
2009-11-02,6408,6514,6393,6490,354,-0.022148561096881125
2009-11-03,6502,6527,6478,6485,608,-0.0007704160246533309
2009-11-04,6539,6598,6539,6583,368,0.01511179645335381
2009-11-05,6562,6566,6506,6513,459,-0.010633449794926308
2009-11-06,6654,6666,6619,6637,472,0.01903884538615075
2009-11-09,6692,6746,6666,6688,983,0.00768419466626491
2009-11-10,6732,6779,6713,6788,1094,0.014952153110047828
2009-11-11,6860,6860,6709,6766,599,-0.003241013553329397
2009-11-12,6793,6824,6746,6750,2558,-0.0023647650014779753
2009-11-13,6746,6817,6709,6822,4745,0.010666666666666602
2009-11-16,6895,6974,6859,6980,7013,0.02316036352975659
2009-11-17,7035,7162,7035,7082,10980,0.014613180515759217
2009-11-18,7107,7133,6996,7049,3181,-0.0046597006495340265
2009-11-19,7045,7115,7038,7098,2078,0.006951340615690249
2009-11-20,8158,8158,7026,7069,18705,-0.004085657931811815
2009-11-23,7064,7086,6989,7024,4603,-0.006365822605743365
2009-11-24,8064,8064,7001,7069,3081,0.006406605922551156
2009-11-25,7267,7267,7041,7076,4108,0.0009902390720044618
2009-11-26,7069,7102,7018,7024,1823,-0.007348784624081395
2009-11-27,6886,6914,6641,6668,5104,-0.0506833712984055
2009-11-30,6771,6839,6724,6798,1938,0.019496100779843983
2009-12-01,6759,6873,6723,6879,1889,0.011915269196822509
2009-12-02,6960,7000,6949,6988,15523,0.015845326355574896
2009-12-03,7036,7036,6930,6988,1190,0.0
2009-12-04,6974,6981,6920,6980,13402,-0.0011448196908986352
2009-12-07,7014,7014,6813,6882,3295,-0.014040114613180554
2009-12-08,6947,6947,6771,6806,3228,-0.011043301365882052
2009-12-09,6863,6863,6697,6798,1017,-0.0011754334410813971
2009-12-10,6845,6845,6763,6838,12564,0.005884083553986397
2009-12-11,6897,7043,6864,7049,5301,0.030856975723895896
2009-12-14,7044,7134,6985,7139,2702,0.012767768477798258
2009-12-15,7431,7431,7077,7139,3139,0.0
2009-12-16,7140,7140,7061,7112,1608,-0.0037820423028435135
2009-12-17,7121,7182,7110,7128,1486,0.0022497187851517886
2009-12-18,7070,7121,7065,7124,2084,-0.0005611672278339475
2009-12-21,7115,7115,6995,7001,1412,-0.017265581134194297
2009-12-22,7104,7104,6968,6975,763,-0.00371375517783179
2009-12-23,7102,7102,6948,7001,651,0.003727598566308332
2009-12-24,7110,7196,7011,7167,1710,0.02371089844307961
2009-12-28,7188,7255,7161,7225,4643,0.008092646853634644
2009-12-29,7270,7321,7237,7262,7046,0.005121107266435887
2009-12-30,7298,7377,7281,7370,3603,0.0148719361057561
2010-01-04,7368,7390,7335,7385,1353,0.002035278154681075
2010-01-05,7423,7512,7413,7456,3329,0.009614082599864515
2010-01-06,8564,8564,7462,7508,2508,0.006974248927038573
2010-01-07,7600,7600,7463,7475,11841,-0.00439531166755458
2010-01-08,7485,7485,7326,7439,2654,-0.004816053511705665
2010-01-11,7315,7571,7315,7478,2724,0.0052426401398038
2010-01-12,7513,7513,7419,7504,2205,0.0034768654720513936
2010-01-13,7361,7370,7207,7214,5860,-0.0386460554371002
2010-01-14,7203,7269,7194,7214,1416,0.0
2010-01-15,7354,7354,7164,7253,3048,0.00540615469919592
2010-01-18,7387,7387,7132,7269,3012,0.002205983730869887
2010-01-19,7301,7305,7220,7306,2962,0.005090108680698924
2010-01-20,7301,7438,7301,7354,7582,0.006569942513003024
2010-01-21,7272,7286,7220,7235,3060,-0.016181669839543056
2010-01-22,7151,7151,6960,7028,9341,-0.02861091914305458
2010-01-25,7023,7023,6842,6941,3593,-0.01237905520774052
2010-01-26,6935,6938,6761,6796,2250,-0.020890361619363196
2010-01-27,6935,6935,6662,6721,2034,-0.011035903472630948
2010-01-28,6915,6915,6612,6762,3258,0.00610028269602747
2010-01-29,6627,6687,6571,6579,5505,-0.0270629991126885
2010-02-01,6572,6609,6493,6574,8889,-0.0007599939200486627
2010-02-02,6824,6824,6567,6608,1080,0.005171889260723983
2010-02-03,6701,6770,6692,6771,2723,0.024667070217917697
2010-02-04,6742,6742,6686,6728,943,-0.006350612907989994
2010-02-05,6448,6493,6433,6458,3806,-0.04013079667063024
2010-02-08,6783,6783,6240,6244,5959,-0.03313719417776406
2010-02-09,6606,6606,6205,6358,46724,0.01825752722613716
2010-02-10,6441,6445,6362,6416,27447,0.009122365523749565
2010-02-11,6414,6546,6395,6552,10469,0.021197007481296826
2010-02-12,6483,6550,6423,6549,30458,-0.00045787545787545625
2010-02-16,6527,6689,6492,6697,11837,0.02259887005649719
2010-02-17,6752,6778,6716,6743,2732,0.006868747200238889
2010-02-18,6742,6750,6686,6753,9710,0.0014830194275545772
2010-02-19,6696,6741,6618,6628,1278,-0.018510291722197536
2010-02-22,6788,6832,6759,6826,1844,0.02987326493663245
2010-02-23,6828,6875,6817,6875,1761,0.007178435394081362
2010-02-24,6868,6868,6761,6806,687,-0.010036363636363621
2010-02-25,6847,6847,6723,6732,589,-0.010872759330002979
2010-02-26,7023,7023,6701,6766,983,0.005050505050504972
2010-03-02,6882,6908,6787,6835,3057,0.010198049068873782
2010-03-03,6878,6878,6805,6818,802,-0.002487198244330635
2010-03-04,6872,6872,6765,6818,1709,0.0
2010-03-05,6831,6855,6812,6838,637,0.0029334115576415964
2010-03-08,6917,7007,6917,7014,14491,0.02573852003509791
2010-03-09,7010,7010,6966,6996,1507,-0.0025662959794696683
2010-03-10,7101,7101,6947,6953,1521,-0.006146369353916548
2010-03-11,7078,7078,6924,6961,996,0.0011505824823816457
2010-03-12,6944,7052,6904,7062,159193,0.014509409567590836
2010-03-15,7056,7115,7005,7039,23853,-0.0032568677428490567
2010-03-16,7035,7035,6927,6966,951,-0.01037079130558316
2010-03-17,7052,7052,6998,7058,482,0.013207005455067478
2010-03-18,7051,7077,7031,7076,1109,0.0025502975347124757
2010-03-19,7074,7096,7045,7098,351,0.003109101187111385
2010-03-22,7096,7096,6998,7044,109,-0.0076077768385460764
2010-03-23,7064,7064,6920,7006,2456,-0.005394662123793248
2010-03-24,7170,7170,6959,7011,531,0.0007136739937196879
2010-03-25,7023,7023,6908,6949,606,-0.008843246327200127
2010-03-26,6814,6958,6814,6966,3234,0.002446395164771964
2010-03-29,6988,7026,6956,7031,870,0.009331036462819409
2010-03-30,7026,7109,7026,7065,1177,0.004835727492533026
2010-03-31,6999,7024,6967,7011,289,-0.007643312101910826
2010-04-01,7023,7051,7023,7034,1873,0.0032805591213806995
2010-04-02,7087,7110,7057,7116,1543,0.011657662780779177
2010-04-05,7112,7144,7045,7112,3808,-0.0005621135469364713
2010-04-06,7151,7239,7142,7217,1311,0.014763779527559029
2010-04-07,7205,7312,7205,7318,3743,0.013994734654288576
2010-04-08,7312,7356,7284,7350,2352,0.004372779447936681
2010-04-09,7339,7360,7238,7283,2293,-0.009115646258503363
2010-04-12,7338,7338,7203,7294,9695,0.0015103666071674127
2010-04-13,7115,7274,7115,7225,719,-0.009459829997258029
2010-04-14,7185,7267,7185,7265,702,0.005536332179930881
2010-04-15,7308,7308,7238,7283,293,0.0024776324845148245
2010-04-16,7346,7346,7184,7217,7767,-0.009062199643004254
2010-04-19,7211,7211,6998,7006,2444,-0.02923652487183037
2010-04-20,7124,7157,7045,7124,668,0.01684270625178419
2010-04-21,7188,7250,7161,7257,2373,0.018669286917462058
2010-04-22,7250,7255,7195,7225,697,-0.004409535620779947
2010-04-23,7220,7241,7209,7235,639,0.0013840830449827202
2010-04-26,7229,7351,7229,7313,2520,0.010780926053904683
2010-04-27,7354,7354,7274,7294,392,-0.002598112949541931
2010-04-28,7287,7287,6265,7204,2655,-0.012338908692075656
2010-04-29,7307,7307,7142,7214,8383,0.0013881177123820088
2010-04-30,7539,7539,7001,7009,10571,-0.028416967008594418
2010-05-03,6921,6999,6884,6891,9424,-0.016835497217862705
2010-05-04,7031,7031,6840,6903,2045,0.0017414018284718225
2010-05-06,6751,6755,6701,6758,2980,-0.0210053599884108
2010-05-07,6581,6670,6512,6623,1307,-0.019976324356318464
2010-05-10,6934,6934,6649,6827,1635,0.03080175147214259
2010-05-11,6900,6900,6701,6711,1471,-0.016991357843855304
2010-05-12,6820,6820,6653,6704,831,-0.0010430636268812243
2010-05-13,6780,6798,6751,6771,1202,0.009994033412887848
2010-05-14,6755,6798,6722,6803,1510,0.004726037512922776
2010-05-17,6737,6737,6557,6567,434,-0.034690577686314894
2010-05-18,6537,6537,6449,6528,257,-0.00593878483325716
2010-05-19,6503,6503,6299,6417,1051,-0.017003676470588203
2010-05-20,6665,6665,6221,6257,3083,-0.02493376967430261
2010-05-24,6485,6485,6230,6482,907,0.03595972510787915
2010-05-25,6406,6406,6207,6316,809,-0.025609379821042833
2010-05-26,6663,6663,6351,6429,626,0.017891070297656686
2010-05-27,6253,6592,6253,6554,893,0.019443148234562058
2010-05-28,6625,6635,6580,6595,850,0.006255721696673877
2010-05-31,6661,6661,6588,6655,474,0.00909780136467031
2010-06-01,6697,6697,6582,6589,461,-0.00991735537190086
2010-06-03,6661,6697,6629,6704,1329,0.01745333130975868
2010-06-04,6697,6697,6502,6528,5398,-0.026252983293556076
2010-06-07,6515,6515,6302,6359,3381,-0.025888480392156854
2010-06-08,6498,6498,6353,6407,573,0.007548356659852207
2010-06-09,6398,6495,6383,6500,771,0.014515373809895538
2010-06-10,6482,6622,6467,6581,5265,0.012461538461538524
2010-06-11,6701,6701,6611,6664,142,0.012612065035708886
2010-06-14,6696,6801,6696,6788,4112,0.01860744297719097
2010-06-15,6820,6844,6765,6811,2013,0.0033883323512080565
2010-06-16,6844,6910,6844,6864,2999,0.0077815298781382936
2010-06-17,6724,6948,6724,6947,1610,0.012092074592074509
2010-06-18,6942,6959,6854,6859,648,-0.01266733841946166
2010-06-21,7021,7250,7021,7250,10266,0.05700539437235741
2010-06-22,7244,7260,7211,7225,2136,-0.0034482758620689724
2010-06-23,7259,7339,7185,7298,4460,0.010103806228373813
2010-06-24,7291,7352,7275,7322,6192,0.0032885722115647553
2010-06-25,7317,7317,7173,7225,1321,-0.01324774651734495
2010-06-28,7411,7411,7251,7265,384,0.005536332179930881
2010-06-29,7339,7339,7051,7068,1247,-0.027116311080523037
2010-06-30,6997,6997,6874,6979,2997,-0.012591963780418824
2010-07-01,6918,7009,6884,7014,1513,0.005015045135406293
2010-07-02,7059,7059,6942,6947,697,-0.009552323923581407
2010-07-05,7179,7179,6943,7052,1169,0.015114437886857734
2010-07-06,7043,7043,6945,7037,650,-0.0021270561542824362
2010-07-07,6952,7097,6952,7063,71,0.003694756288191048
2010-07-08,7069,7272,7069,7270,1568,0.029307659634716154
2010-07-09,7265,7344,7230,7283,275,0.001788170563961522
2010-07-12,7250,7347,7250,7295,364,0.00164767266236443
2010-07-13,7318,7423,7297,7426,2395,0.0179575051405072
2010-07-14,7349,7422,7349,7418,2870,-0.001077295987072402
2010-07-15,7361,7370,7325,7347,757,-0.009571313022378014
2010-07-16,7259,7421,7259,7330,1422,-0.0023138696066421494
2010-07-19,7323,7356,6980,7339,347,0.0012278308321964637
2010-07-20,7416,7491,7327,7489,1868,0.020438751873552263
2010-07-21,7500,7715,7500,7722,4606,0.03111229803712101
2010-07-22,7740,7821,7692,7718,2817,-0.0005180005180005498
