,Month,Close,Volume,Close_norm
0,1,15300.15,164859,0.8862296929547263
1,2,14512.4,102762,0.43149619285851715
2,3,14536.272727272728,106421,0.4452768705222048
3,4,13879.75,201836,0.06629511531378016
4,5,15087.578947368422,155680,0.7635217541641292
5,6,15497.238095238095,129964,1.0
6,7,14905.857142857143,146948,0.6586217323180957
7,8,14731.818181818182,124783,0.5581566788032057
8,9,13764.904761904761,245791,0.0
9,10,14694.375,393750,0.5365423733472608
10,11,15113.09090909091,213604,0.7782486899285057
11,12,14824.473684210527,117711,0.6116426336188753
