System,Location,Commute_Time
A,Urban,42.483570765056164
A,Urban,39.308678494144075
A,Urban,43.23844269050346
A,Urban,47.61514928204013
A,Urban,38.82923312638332
A,Urban,38.8293152152541
A,Urban,47.896064077536955
A,Urban,43.837173645764544
A,Urban,37.65262807032524
A,Urban,42.712800217929825
A,Urban,37.68291153593769
A,Urban,37.671351232148716
A,Urban,41.20981135783017
A,Urban,30.43359877671101
A,Urban,31.375410837434835
A,Urban,37.188562353795135
A,Urban,34.93584439832788
A,Urban,41.57123666297637
A,Urban,35.45987962239394
A,Urban,32.93848149332354
A,Urban,47.32824384460777
A,Urban,38.87111849756732
A,Urban,40.337641023439616
A,Urban,32.87625906893272
A,Urban,37.27808637737409
A,Urban,40.554612948549334
A,Urban,34.24503211288849
A,Urban,41.87849009172836
A,Urban,36.99680655040598
A,Urban,38.54153125103362
A,Suburban,38.991466938853016
A,Suburban,51.26139092254469
A,Suburban,41.93251387631033
A,Suburban,36.7114453552205
A,Suburban,46.11272456051594
A,Suburban,35.89578175014489
A,Suburban,43.04431797502378
A,Suburban,32.201649380601125
A,Suburban,35.359069755507846
A,Suburban,42.984306179345616
A,Suburban,45.69233289997705
A,Suburban,42.85684140594985
A,Suburban,41.4217585880588
A,Suburban,40.494481522053555
A,Suburban,34.60739004816286
A,Suburban,38.40077895802646
A,Suburban,39.696806145201066
A,Suburban,47.285611131094576
A,Suburban,43.718091447842305
A,Suburban,33.18479922318633
A,Suburban,43.620419846973974
A,Suburban,40.07458859791842
A,Suburban,38.61538999847021
A,Suburban,45.058381444204336
A,Suburban,47.154997612479754
A,Suburban,46.65640059558099
A,Suburban,37.80391238388681
A,Suburban,40.45393812074393
A,Suburban,43.65631715701782
A,Suburban,46.877725635611796
B,Urban,34.60412881077355
B,Urban,36.07170511668092
B,Urban,31.46832512996986
B,Urban,31.018966879596647
B,Urban,41.06262911197099
B,Urban,43.78120014285412
B,Urban,36.63994939209833
B,Urban,42.01766448946012
B,Urban,38.808180125238174
B,Urban,33.774401226974376
B,Urban,38.80697802754207
B,Urban,44.690182832329846
B,Urban,36.82086980445024
B,Urban,44.82321827907003
B,Urban,23.901274479551276
B,Urban,41.10951252187612
B,Urban,37.435235341190854
B,Urban,35.50496324767066
B,Urban,37.458803882677515
B,Urban,27.062155426995538
B,Urban,35.90164056081244
B,Urban,38.78556285755873
B,Urban,44.38947022370758
B,Urban,34.40864890863176
B,Urban,32.95753198553406
B,Urban,34.491214782077314
B,Urban,41.57701058851037
B,Urban,38.64375554829842
B,Urban,34.351198981164806
B,Urban,39.56633716556678
B,Suburban,39.4853877467402
B,Suburban,43.84322495266444
B,Suburban,35.48973453061324
B,Suburban,37.36168926701116
B,Suburban,37.03945923433921
B,Suburban,31.682425259339407
B,Suburban,40.48060138532288
B,Suburban,40.30527636089945
B,Suburban,39.025567283212304
B,Suburban,37.82706433312426
B,Suburban,31.92314628974793
B,Suburban,36.89677338617321
B,Suburban,37.286427417366156
B,Suburban,34.9886136538919
B,Suburban,38.19357144166995
B,Suburban,41.02025428407269
B,Suburban,48.43092950605265
B,Suburban,39.872889064159196
B,Suburban,40.28775195361382
B,Suburban,38.62777042116917
B,Suburban,29.406143923504793
B,Suburban,38.867430622753915
B,Suburban,39.30115104970513
B,Suburban,51.316210562426434
B,Suburban,38.03819517609439
B,Suburban,40.50773671166806
B,Suburban,38.82644115147378
B,Suburban,33.15660981190234
B,Suburban,44.7141140725751
B,Suburban,42.75966516343387
C,Urban,38.95515973521523
C,Urban,30.453062726026303
C,Urban,42.013971554680495
C,Urban,27.990744686038596
C,Urban,37.93428546900135
C,Urban,45.952278129049894
C,Urban,30.04731837434656
C,Urban,32.16851135198614
C,Urban,35.498256825438204
C,Urban,32.482621729419
C,Urban,27.246682844669337
C,Urban,35.34281487403014
C,Urban,29.688481431369475
C,Urban,37.36796215317591
C,Urban,30.402878828830985
C,Urban,42.7496720250877
C,Urban,31.083733538318814
C,Urban,33.38969241897162
C,Urban,39.06758608684835
C,Urban,28.845678417830225
C,Urban,36.13729967302065
C,Urban,41.53571377141214
C,Urban,26.96258382719386
C,Urban,35.92316929266152
C,Urban,36.29941397124212
C,Urban,38.909114358886555
C,Urban,28.81524644560959
C,Urban,28.397716934578618
C,Urban,37.60970782808449
C,Urban,36.48492336616593
C,Suburban,38.252464251729386
C,Suburban,38.73224104748488
C,Suburban,33.59987639210755
C,Suburban,38.16126848580502
C,Suburban,38.46536236649341
C,Suburban,33.42824290986816
C,Suburban,46.328872555723784
C,Suburban,39.36916460455894
C,Suburban,31.043482513986756
C,Suburban,40.28276804316915
C,Suburban,32.126591648863396
C,Suburban,40.93542301871226
C,Suburban,42.79297789503702
C,Suburban,32.89658840824145
C,Suburban,41.816880646221605
C,Suburban,39.063904634682494
C,Suburban,41.11030079997245
C,Suburban,46.48396491326974
C,Suburban,35.77305941998565
C,Suburban,33.23131917821255
C,Suburban,32.55242785187238
C,Suburban,32.92094857517281
C,Suburban,36.61449145292948
C,Suburban,38.70575987408322
C,Suburban,38.3834539966501
C,Suburban,41.13591624518012
C,Suburban,37.065009459389536
C,Suburban,44.26767038578659
C,Suburban,35.67671583381022
C,Suburban,50.600845832948096
